T_s,T_over_Tn,F_rigid_kN,F_seg_kN,dF_pct,dP_pct,dW_pct,u1_mm,m_eff_min_t
1.5,1.509876363134611,64.827702,82.57673672601638,-27.378781259308525,-36.49922638769256,-0.8976522790420072,234.8988058104994,-11.213739501143708
2.0,2.0131684841794812,50.3277165,61.86939637917039,-22.933048987371368,-9.567638908000605,-0.11748349491184305,159.0969585813824,-19.989716367025206
2.5,2.516460605224352,41.627752421333334,48.021480863663164,-15.359292948646404,6.993871723247176,-0.12453334186328868,113.39348016101695,7.708308137005042
3.0,3.019752726269222,35.827760000000005,38.7309829244793,-8.103277806034477,-3.035115266932426,-0.07828527006338826,84.41268845680102,8.057073281479585
4.0,4.0263369683589625,28.57776,28.577985919770562,-0.0007905440124093774,-2.8325189995165805,-0.03451662093599894,51.52307448564974,2.664869310173727
5.0,5.032921210448704,24.227757215999997,24.43380178299384,-0.8504483727357561,-0.5638876828439285,-0.02390256523654705,38.781786277460945,4.251534547565748
6.0,6.039505452538444,21.32776,21.646443332823754,-1.4942184871911146,-0.20369942407731428,-0.01920602492482858,32.395249921581765,9.69049478815581
8.0,8.052673936717925,17.70276,17.710169934886995,-0.04185751197549501,-0.09087005478229236,-0.012764224157204004,22.983795639692268,10.397125471272298
10.0,10.065842420897408,15.527759381333333,15.534921484252207,-0.046124509937238926,-0.06394192511818884,-0.009337644303947481,17.931332520043618,10.57197953844826
12.0,12.079010905076888,14.07776,14.082428726926894,-0.033163847990683275,-0.048860033523470715,-0.007175976685829432,14.78436595964884,10.608166182009347
16.0,16.10534787343585,12.265259848958333,12.26764401446994,-0.019438361200402345,-0.03086568206485749,-0.0044736646037782735,11.065532914860116,11.483538650436417
20.0,20.131684841794815,11.177760000000001,11.179141618581117,-0.012360424459959933,-0.020281820043605993,-0.0028635651241013227,9.000726617109677,11.529915760934921
25.0,25.164606052243517,10.307759999381334,10.308544035785964,-0.007606273377307168,-0.012275059488187906,-0.0017236876808495397,7.434522605182637,11.559576815563528
30.0,30.19752726269222,9.72775998711111,9.728256978057564,-0.005108996799993656,-0.007711717268940986,-0.0011031836782436383,6.376362643104805,11.575395280504214
