sweep,value,unit,F_rigid_kN,F_seg_kN,dF_pct,dP_pct,dW_pct,u1_mm,u2_mm
cargo mass,1250.0,kg,11.979885,11.981761035555158,-0.0156598794993166,-0.03381971681019464,-0.0017095813966399908,8.381638704522162,5.5437073521401885
cargo mass,2500.0,kg,13.88751,13.892052200308884,-0.032707089383800805,-0.0613142848410011,-0.004629431535206247,13.281664517146009,10.561352665893832
cargo mass,3750.0,kg,15.795135,15.803124836014373,-0.05058415780791038,-0.07775539138705764,-0.00836592810228059,18.08123395961502,15.422215238812283
cargo mass,5000.0,kg,17.70276,17.710169934886995,-0.04185751197549501,-0.09087005478229236,-0.012764224157204004,22.983795639692268,20.336403076331948
cargo mass,7500.0,kg,21.51801,21.731764094032563,-0.9933729654022829,-0.1136443734326405,-0.023035145631727608,33.162536480498325,30.47222622838134
body mass,350.0,kg,17.168625,17.175972816463233,-0.04279793206056075,-0.09067446712456662,-0.012263114539750783,21.64187536742848,20.31875837905617
body mass,700.0,kg,17.70276,17.710169934886995,-0.04185751197549501,-0.09087005478229236,-0.012764224157204004,22.983795639692268,20.336403076331948
body mass,1400.0,kg,18.77103,18.778469470753222,-0.03963272528584127,-0.0912274190664489,-0.013841893214119605,25.67705235069481,20.364257243795986
body mass,2800.0,kg,20.90757,20.914493584312677,-0.03311520330998352,-0.09226617238501134,-0.01625046356525817,31.071749801354986,20.486896004700633
coupling stiffness,25000.0,N/m,17.70276,19.21256457666379,-8.52863947013792,-4.073742722587001,-0.14792653056089344,234.19304335590982,209.57478839301595
coupling stiffness,50000.0,N/m,17.70276,17.70303389338452,-0.00154717899650233,-0.12560992068809992,-0.05717646857169416,95.65873616655648,85.35543584543841
coupling stiffness,100000.0,N/m,17.70276,17.905915624263958,-1.1475929418009183,-0.09076389051174427,-0.02573730815919721,45.40124490510209,39.974306263601676
coupling stiffness,200000.0,N/m,17.70276,17.710169934886995,-0.04185751197549501,-0.09087005478229236,-0.012764224157204004,22.983795639692268,20.336403076331948
coupling stiffness,500000.0,N/m,17.70276,17.709968439265957,-0.04071929612080973,-0.0867586681272983,-0.005025987758603485,9.692608541835577,8.584772669321106
coupling stiffness,1000000.0,N/m,17.70276,17.707724026404993,-0.02804097442993173,-0.05522045038165715,-0.002357536317583571,5.08385852460177,4.494812662105235
coupling stiffness,5000000.0,N/m,17.70276,17.704103556585792,-0.0075895317215552436,-0.008965425448661699,-0.00018544835513679582,1.0656887057087978,0.9354992212521034
guide friction,0.0,-,17.70276,18.32198490794009,-3.4979003722588446,-1.240570096803146,-0.025664913190318276,29.82463659805248,26.362656081998633
guide friction,0.01,-,17.70276,17.71583391910956,-0.07385243379877657,-1.1886072616740995,-0.007211732311407205,25.05690582980298,22.08567477354393
guide friction,0.02,-,17.70276,17.710169934886995,-0.04185751197549501,-0.09087005478229236,-0.012764224157204004,22.983795639692268,20.336403076331948
guide friction,0.05,-,17.70276,17.71412174688067,-0.06418065251220527,-0.03916839960512485,-0.01940690819567471,15.637597530306818,14.021716496412454
guide friction,0.1,-,17.70276,17.704400781718554,-0.009268507953300083,-0.025527165049565027,-0.0075963787883144545,5.504744409106288,5.336871489418865
guide friction,0.2,-,17.70276,17.70288426376658,-0.0007019457224648813,-0.009583527708962761,-0.003221755861563553,2.4941964294261956,2.46805981148142
guide friction,0.4,-,17.70276,17.70278538717152,-0.00014340798563416174,-0.004301984908703458,-0.0015356671976983996,1.245280610467246,1.2390844881055496
viscous damping ratio,0.0,-,17.70276,17.710169934886995,-0.04185751197549501,-0.09087005478229236,-0.012764224157204004,22.983795639692268,20.336403076331948
viscous damping ratio,0.1,-,17.70276,17.711637984368153,-0.050150283730623774,-0.08924867678937291,-0.01319016045782966,22.905627403835695,20.237956774540564
viscous damping ratio,0.3,-,17.70276,17.714405047328622,-0.06578097047364603,-0.0868442260973827,-0.0139557665895235,22.8054958670748,20.078223426743232
viscous damping ratio,0.7,-,17.70276,17.71602562747301,-0.0749353630338266,-0.08373973253959996,-0.015266666634711969,22.724341642276467,19.858224476785413
viscous damping ratio,1.0,-,17.70276,17.716875750387437,-0.07973756853414198,-0.08177995658006189,-0.016102435908504253,22.671140415464183,19.690941204616742
viscous damping ratio,1.5,-,17.70276,17.71907068006115,-0.09213636778191349,-0.0789258640579055,-0.01724504399106569,22.57506793262857,19.377994973614598
