response,note,mean,std,R2,R2_adj,R2_pred_LOO,RMSE,MAE,AIC,BIC,R2_first_order,R2_pred_first_order,RMSE_first_order,curvature_F,n_obs
P_peak_W,constant response - no model fitted,,,,,,,,,,,,,,
P_mean_W,,78408.8001526858,2623.9945589726995,0.9999441104271656,0.9999145218297828,0.99980101290705,19.25010564299638,14.61962353240233,256.32857442104864,269.2869430810919,0.9940807400265064,0.9898542111815258,198.1077335024767,594.4895249463044,27.0
E_engine_J,,413063.1949754253,109804.41454335889,0.9995603426945646,0.9993275829446282,0.9984464416431628,2259.3407714623163,1703.0937051537417,513.6554119993472,526.6137806593905,0.9979656300278824,0.9956075519447376,4860.036837285402,20.553974651348437,27.0
M_peak_Nm,,35499.91567719195,0.0911051435398611,0.3605319583851801,0.0219900540008638,-0.7951134249641414,0.0714919447444771,0.0520132183365704,-45.83852602039372,-32.880157360350424,0.2521073893995627,-0.517852031993538,0.0773156319065546,0.9608078135804372,27.0
M_mean_Nm,,17985.34415955205,1259.049375114383,0.9999552003631572,0.999931482908358,0.9998624860783178,8.26960565934197,6.18208556244402,210.70236932290425,223.66073798294752,0.9991356526159344,0.998407948528449,36.32383671099568,103.66387382149657,27.0
F_kch_peak_N,,40969.91523695266,2685.244716984676,0.9780782883743528,0.9664726763372457,0.9468190458475668,390.1448629608233,325.76341462331067,418.8146589298784,431.7730275899217,0.9582063531934446,0.9327231418825386,538.6960571288342,5.136808412353592,27.0
F_chv1_peak_N,,11734.956543093556,3796.61775566488,0.9951869605568182,0.9926388808516045,0.9874884873561344,258.4707343780662,226.78863633116296,396.5809344053456,409.5393030653888,0.9906145691590148,0.9836805506311284,360.9348134204213,5.383337956556974,27.0
F_v1v2_peak_N,,5850.551438547029,3373.977325388534,0.9972268122224583,0.9957586539872894,0.9927741200413706,174.35587681836049,153.71079693604418,375.3219986898477,388.280367349891,0.9941049326056614,0.9892635527166386,254.20924380579905,6.3791753681868,27.0
a_peak_m_s2,,2.310587559595292,0.1844907625368795,0.9754605481136132,0.962469073585526,0.9419312953447316,0.0283603670172906,0.0239277294891397,-95.76650155260155,-82.80813289255828,0.971562021217656,0.9567789575841512,0.0305301389387716,0.9002504421331549,27.0
a_rms_m_s2,,1.005545416759856,0.1464581959510285,0.9999287688240148,0.9998910582014344,0.9998141948671604,0.0012129796905508,0.0010392307936721,-265.9697903920732,-253.01142173202996,0.9982431769689312,0.9963808541288844,0.0060239655599573,134.0941946653638,27.0
j_peak_m_s3,,31.55584238586513,0.769179099157206,0.9999979075027308,0.999996799710059,0.999994526871282,0.0010918543697002,0.0008862100894155,-271.65071887514034,-258.69235021509706,0.9998305782817304,0.9996756606563684,0.0098246436630003,453.1422492053092,27.0
j_rms_m_s3,,6.611487578264107,0.6575941403707212,0.9837564646013424,0.9751569458608768,0.9592381645995895,0.0822437693006633,0.0698366537186489,-38.272972057980496,-25.314603397937205,0.9431937899793028,0.8949001430684093,0.1538015223307548,14.150562088260427,27.0
u1_peak_m,,0.0586737163988464,0.0189825571638035,0.9951892056981598,0.9926423145971855,0.9874942759496208,0.001292016030788,0.00113363889002,-262.5610983692204,-249.60272970917708,0.990615456354416,0.9836827272127154,0.0018045382312135,5.387449830887087,27.0
u2_peak_m,,0.0390034698920545,0.0224930229118059,0.9972267371883726,0.9957585392292758,0.9927739460552956,0.0011623800071564,0.0010247463273495,-268.27074406290103,-255.31237540285773,0.9941049602281076,0.9892635974432932,0.0016947123224707,6.3787930113702105,27.0
t_manoeuvre_s,,5.232054518604419,1.2288593179917853,0.9995752490811518,0.999350380947644,0.9985057758332202,0.0248527311831265,0.0186922083803707,-102.8958509954578,-89.93748233541451,0.9981138051039672,0.9959418847934816,0.05237213051493,19.497346570011445,27.0
distance_m,,14.425743893739336,4.978758892239395,0.9993506559932024,0.9990068856366624,0.9978138157551776,0.1244982667406071,0.0929612086303519,-15.88434739351733,-2.9259787334740395,0.9946441454365664,0.9894822636901508,0.357552875181973,41.0725689440424,27.0
