response,term,coefficient,std_coefficient,p_value,rank
P_mean_W,x3,3006.4659628651093,0.9533292974121024,3.057026959595062e-37,1
P_mean_W,x2,739.7069230657584,0.2345558838740749,6.83763230642181e-27,2
P_mean_W,x1,544.5731982529771,0.1726803465904613,1.238699589009606e-24,3
P_mean_W,x3^2,-415.9478182085635,-0.0761491169803346,1.2906094519477556e-18,4
E_engine_J,x3,105094.98496535172,0.796364276768879,2.663669737657191e-28,1
E_engine_J,x1,54651.12440344991,0.4141225499438251,1.7646515464761918e-23,2
E_engine_J,x2,53832.64799990254,0.4079204902605939,2.279250542633153e-23,3
E_engine_J,x2x3,17614.963402704383,0.1089847904628859,9.648499250268579e-14,4
M_peak_Nm,x3,-0.0472856486208465,-0.4318530911014592,0.0397794219055904,1
M_peak_Nm,x2^2,0.0439507246592752,0.2317459187693252,0.2485353651133714,2
M_peak_Nm,x1x2,-0.0293969302133645,-0.2192113485253267,0.2740621613179611,3
M_peak_Nm,x3^2,-0.0320802028168046,-0.1691543457752235,0.3952703929204005,4
M_mean_Nm,x3,-1503.1908130967115,-0.9933926208171416,2.317134349282464e-38,1
M_mean_Nm,x1,-133.24595483977,-0.0880563845509915,1.7182384636205678e-20,2
M_mean_Nm,x2,-85.45564986759976,-0.0564738762677265,3.061765037927658e-17,3
M_mean_Nm,x2x3,-53.242181165204926,-0.0287287695809311,2.1872347319757466e-12,4
F_kch_peak_N,x2,2308.801403646596,0.7154055179108428,3.189239607982135e-13,1
F_kch_peak_N,x1,2117.6893962835798,0.6561875252369924,1.3019759089516881e-12,2
F_kch_peak_N,x1x2,-497.1329779175008,-0.1257745151311163,0.0027291291961319,3
F_kch_peak_N,x1^2,-657.2753214738468,-0.1175851308115835,0.0044697857593441,4
F_chv1_peak_N,x1,3305.3289870524845,0.7243815768540016,8.501967724877213e-19,1
F_chv1_peak_N,x2,3025.9016280285587,0.6631434877745842,3.762711410854566e-18,2
F_chv1_peak_N,x1x2,-903.3051730203068,-0.1616372942536252,2.7804090034728706e-08,3
F_chv1_peak_N,x2^2,481.65303149256295,0.0609433572229772,0.0021061805834798,4
F_v1v2_peak_N,x2,3947.561929273078,0.9735009303271748,5.416508158120541e-23,1
F_v1v2_peak_N,x1,-785.0544426701667,-0.1936008209597922,2.6215604628084814e-11,2
F_v1v2_peak_N,x1x2,-469.0409263057096,-0.094443598941858,1.0477959669514155e-06,3
F_v1v2_peak_N,x1^2,383.4716767507842,0.0545984211327559,0.0005120271309152,4
a_peak_m_s2,x2,-0.1818445251721021,-0.8201158074943051,8.569808522094526e-14,1
a_peak_m_s2,x1,-0.121211728588602,-0.5466628955429922,5.98276794501489e-11,2
a_peak_m_s2,x1^2,-0.0174782334699653,-0.0455105266871075,0.2474087038683782,3
a_peak_m_s2,x2^2,-0.0164169621505299,-0.0427471457774509,0.2761728426725917,4
a_rms_m_s2,x2,-0.1086491478670205,-0.6172515978043182,3.886127057920435e-33,1
a_rms_m_s2,x1,-0.1075064395292528,-0.6107597056803719,4.651193435490385e-33,2
a_rms_m_s2,x3,-0.086204227988169,-0.4897387463020905,1.984239850452477e-31,3
a_rms_m_s2,x1x2,0.0136413787712885,0.0632773869560522,2.2137705750150983e-16,4
j_peak_m_s3,x2,0.6600365358918974,0.7139866314156582,3.1134257723607444e-47,1
j_peak_m_s3,x1,0.6466308301314188,0.6994851694856153,4.413006741896356e-47,2
j_peak_m_s3,x1x2,-0.030531422522172,-0.026966433627356,4.698244212935237e-23,3
j_peak_m_s3,x2^2,-0.0150761595145884,-0.0094156910614987,2.3383399039448103e-15,4
j_rms_m_s3,x3,-0.7211254386318029,-0.9124361009814336,4.787357117794543e-16,1
j_rms_m_s3,x2,-0.2594486378882238,-0.3282789524230695,6.365273354422459e-09,2
j_rms_m_s3,x1^2,-0.2688222992476523,-0.1963795713989994,7.211856074364508e-06,3
j_rms_m_s3,x1,-0.0358348926855365,-0.0453416950913774,0.1606757687807943,4
u1_peak_m,x1,0.0165255179164629,0.7243524635709943,8.474343807954149e-19,1
u1_peak_m,x2,0.0151297982699035,0.6631747764600447,3.74499657601732e-18,2
u1_peak_m,x1x2,-0.0045165347200554,-0.1616421378839375,2.7698209857090317e-08,3
u1_peak_m,x2^2,0.0024084237569808,0.0609490775859793,0.0021007692343434,4
u2_peak_m,x2,0.0263168856457437,0.973500650999796,5.417776906227261e-23,1
u2_peak_m,x1,-0.0052336930552616,-0.193602072259425,2.6218547858028736e-11,2
u2_peak_m,x1x2,-0.0031269326128094,-0.0944440593516725,1.0479154277946752e-06,3
u2_peak_m,x1^2,0.0025564130836934,0.0545974245960711,0.0005121769810022,4
t_manoeuvre_s,x3,1.138623918293056,0.7709526651953005,3.4475050631853726e-28,1
t_manoeuvre_s,x1,0.6549565395317116,0.4434655566484455,4.123926962477935e-24,2
t_manoeuvre_s,x2,0.6315433386661766,0.4276126755363948,7.64716244753626e-24,3
t_manoeuvre_s,x2x3,0.190844703621116,0.1055071504937391,1.2379714699707844e-13,4
distance_m,x3,5.154295411026478,0.8613859611747124,1.9272898956040365e-27,1
distance_m,x1,2.0211375903740474,0.3377725580544432,1.5132347669788294e-20,2
distance_m,x2,1.9773744165562688,0.3304588554943534,2.1909835067846815e-20,3
distance_m,x2x3,0.8664655721313954,0.1182317629074892,6.18125346541635e-13,4
