T_s,T_over_Tn,a_max_m_s2,F_rigid_kN,F_seg_kN,dF_peak_pct,dP_peak_pct,dW_pct,u1_peak_mm,u2_peak_mm
1.0,0.9427525193029641,7.5,174.12371502075,181.48190121735175,-4.225838046084006,-41.59928785871243,-0.21676892634052916,644.1123646992612,562.9836146431992
1.5,1.414128778954446,5.0,118.274104645125,147.24292043813787,-24.49294871428722,-53.70825586544442,4.925365870450801,475.8776430484458,356.87756110456144
2.0,1.8855050386059282,3.75,90.34917379537498,115.8940714588824,-28.273526575198257,-32.97578305411691,-0.4077941749548358,344.22967080899025,242.7930046473095
2.5,2.3568812982574103,3.0,73.59433257000002,91.50924807429338,-24.342792275822887,-9.660566271894055,-0.18247136879908488,255.11406241813583,175.4337512837676
3.0,2.828257557908892,2.5,62.42432672025001,73.70698067538349,-18.07412998732987,4.843773238773058,-0.1904005714282385,194.89609981167428,132.17827102186703
3.5,3.2996338175603745,2.142857142857143,54.445805579004016,60.71055338559046,-11.506391979995465,0.13467342329652954,-0.159489331950427,153.0511826446806,102.61427864474116
4.0,3.7710100772118564,1.875,48.46192150838672,51.08810612913664,-5.419068289100828,-3.988323886990467,-0.09346679964775487,123.04149237429466,81.51405514720935
4.5,4.242386336863339,1.6666666666666667,43.807789928375,43.81992510362829,-0.027700952897040724,-3.6807024418084855,-0.06483851257578702,100.8850667651611,65.98494064793945
5.0,4.713762596514821,1.5,40.0844741925375,40.08540428095913,-0.002320320873283652,-3.183476036037446,-0.049377463290523484,84.10595761260754,54.401587610213824
6.0,5.656515115817784,1.25,34.49950757,34.861912286995256,-1.0504634486736637,-2.484072404123216,-0.03565528232726905,68.0423832612394,42.98529427566443
7.0,6.599267635120749,1.0714285714285714,30.510231897148692,31.210492571090295,-2.295166671634005,-2.1312825906314425,-0.029791766815487102,59.308277573454376,36.71959233378249
8.0,7.542020154423713,0.9375,27.51828849275537,27.7758985837668,-0.9361413994887405,-1.5583645995065343,-0.024676832866368053,50.812244378993576,31.109501093362507
10.0,9.427525193029641,0.75,23.329557570000006,23.34617865601316,-0.07124475448487523,-0.1659154486788681,-0.018025668672317297,38.884869930822795,23.540441319805076
12.0,11.313030231635569,0.625,20.53706997303863,20.54797271297607,-0.05308809850554298,-0.10544228361495808,-0.014360212758125074,32.135493412554496,19.141217747451066
15.0,14.141287789544462,0.5,17.744582570000002,17.75161456597641,-0.03962897379337582,-0.06866849100526244,-0.010750284452315139,25.46278145663187,15.066898751412241
20.0,18.855050386059283,0.375,14.952094546408592,14.955667123725357,-0.02389349067902466,-0.04173527697730991,-0.007130174351392022,19.06389914738473,11.316970443954027
25.0,23.5688129825741,0.3,13.276601966822701,13.278694311517178,-0.015759640152689814,-0.027377073329473024,-0.004911361857142404,15.373672246189441,9.323546112437494
30.0,28.282575579088924,0.25,12.15960757,12.16096233843308,-0.011141547334332334,-0.01849932021447468,-0.0034711371274582163,12.975079320231151,8.038126706491806
