response,term,coefficient,std_coefficient,p_value,rank
P_mean_W,x3,3006.4659628651093,0.9533292974121024,3.057026959595062e-37,1
P_mean_W,x2,739.7069230657584,0.23455588387407492,6.83763230642181e-27,2
P_mean_W,x1,544.5731982529771,0.17268034659046136,1.2386995890096059e-24,3
P_mean_W,x3^2,-415.9478182085635,-0.07614911698033469,1.2906094519477556e-18,4
P_mean_W,x1x2,75.85072616138791,0.019638158538565115,4.747566359353925e-09,5
P_mean_W,x2^2,42.62590964108572,0.007803684110261757,0.0004809570793002875,6
P_mean_W,x2x3,-18.654893695357526,-0.004829851715987929,0.01636606161637949,7
P_mean_W,x1^2,-10.626764926581904,-0.001945481452462017,0.29828165089441294,8
P_mean_W,x1x3,-0.7842255333089393,-0.00020304018343006363,0.9121507340552316,9
E_engine_J,x3,105094.98496535173,0.796364276768879,2.663669737657191e-28,1
E_engine_J,x1,54651.12440344991,0.41412254994382514,1.7646515464761915e-23,2
E_engine_J,x2,53832.64799990254,0.40792049026059396,2.279250542633153e-23,3
E_engine_J,x2x3,17614.963402704383,0.10898479046288591,9.648499250268578e-14,4
E_engine_J,x1x3,17245.987630158237,0.10670191616235518,1.3657046849679543e-13,5
E_engine_J,x1x2,8257.219273851286,0.051087889982707774,1.4478772192922358e-08,6
E_engine_J,x3^2,8436.210691033208,0.036907664833433294,1.3392259936937187e-06,7
E_engine_J,x2^2,2638.7912364097974,0.011544474893488702,0.03649875765246449,8
E_engine_J,x1^2,2277.31157485005,0.009963033807963121,0.0667100273563362,9
M_peak_Nm,x3,-0.047285648620846506,-0.43185309110145925,0.03977942190559043,1
M_peak_Nm,x2^2,0.043950724659275235,0.2317459187693252,0.2485353651133714,2
M_peak_Nm,x1x2,-0.02939693021336452,-0.2192113485253267,0.27406216131796113,3
M_peak_Nm,x3^2,-0.03208020281680465,-0.16915434577522356,0.39527039292040056,4
M_peak_Nm,x1^2,-0.030642027847619095,-0.1615710537551541,0.41635952413748034,5
M_peak_Nm,x2,-0.011851633019971447,-0.10823927562703203,0.5840625050003205,6
M_peak_Nm,x2x3,0.009498080608699964,0.07082668304219092,0.7194776962969187,7
M_peak_Nm,x1,0.0026332946996595274,0.024049505272678177,0.9027697480689469,8
M_peak_Nm,x1x3,0.0021039379934740445,0.015688953962731792,0.9364720475461388,9
M_mean_Nm,x3,-1503.1908130967117,-0.9933926208171416,2.317134349282464e-38,1
M_mean_Nm,x1,-133.24595483977,-0.0880563845509915,1.7182384636205678e-20,2
M_mean_Nm,x2,-85.45564986759976,-0.05647387626772655,3.061765037927658e-17,3
M_mean_Nm,x2x3,-53.242181165204926,-0.028728769580931176,2.1872347319757462e-12,4
M_mean_Nm,x3^2,74.79822974158283,0.028538918345407137,2.434690732092154e-12,5
M_mean_Nm,x1x3,-30.47956411716101,-0.016446365556138955,1.2787358809308112e-08,6
M_mean_Nm,x1x2,-30.322519595350663,-0.016361626430462687,1.3796176473672037e-08,7
M_mean_Nm,x1^2,4.412863694823785,0.0016837077172960721,0.3141808757081233,8
M_mean_Nm,x2^2,3.9252734865094956,0.0014976699301829694,0.36913618610946075,9
F_kch_peak_N,x2,2308.8014036465956,0.7154055179108428,3.189239607982135e-13,1
F_kch_peak_N,x1,2117.6893962835793,0.6561875252369924,1.3019759089516881e-12,2
F_kch_peak_N,x1x2,-497.1329779175008,-0.1257745151311163,0.0027291291961319543,3
F_kch_peak_N,x1^2,-657.2753214738468,-0.11758513081158352,0.004469785759344168,4
F_kch_peak_N,x2^2,434.627504302801,0.07775391875836683,0.04488196640116968,5
F_kch_peak_N,x3,-0.07994866409309735,-2.4772903962837838e-05,0.9994575981538775,6
F_kch_peak_N,x1x3,0.09208072770047267,2.329640034737191e-05,0.9994899261427683,7
F_kch_peak_N,x3^2,-0.09852137324410967,-1.7625260194873204e-05,0.9996140955424966,8
F_kch_peak_N,x2x3,-0.026989465863450916,-6.8283278989926215e-06,0.9998504939933033,9
F_chv1_peak_N,x1,3305.3289870524845,0.7243815768540016,8.501967724877213e-19,1
F_chv1_peak_N,x2,3025.9016280285587,0.6631434877745842,3.762711410854566e-18,2
F_chv1_peak_N,x1x2,-903.3051730203067,-0.1616372942536252,2.7804090034728702e-08,3
F_chv1_peak_N,x2^2,481.65303149256295,0.0609433572229772,0.0021061805834798144,4
F_chv1_peak_N,x1^2,-231.5405856277398,-0.029296733745869864,0.09972419638197466,5
F_chv1_peak_N,x2x3,-0.006938163177718867,-1.2415138943429925e-06,0.9999419872597226,6
F_chv1_peak_N,x1x3,-0.003871855400819375,-6.928292335990643e-07,0.9999676258778938,7
F_chv1_peak_N,x3,-0.0007838464097837568,-1.7178438229740114e-07,0.9999919729591358,8
F_chv1_peak_N,x3^2,0.0011352111091183865,1.436377882479127e-07,0.9999932881768383,9
F_v1v2_peak_N,x2,3947.561929273078,0.9735009303271747,5.41650815812054e-23,1
F_v1v2_peak_N,x1,-785.0544426701667,-0.1936008209597922,2.6215604628084818e-11,2
F_v1v2_peak_N,x1x2,-469.04092630570955,-0.09444359894185805,1.0477959669514155e-06,3
F_v1v2_peak_N,x1^2,383.47167675078424,0.05459842113275593,0.0005120271309152754,4
F_v1v2_peak_N,x2^2,-83.36743052824397,-0.011869794711579125,0.36571841889887136,5
F_v1v2_peak_N,x3,-0.0019298564324138415,-4.7591831768899256e-07,0.9999707029232625,6
F_v1v2_peak_N,x1x3,0.001768546717085353,3.5610520850260305e-07,0.9999780785037402,7
F_v1v2_peak_N,x3^2,-0.002354001815337732,-3.351610829516593e-07,0.9999793678040898,8
F_v1v2_peak_N,x2x3,0.0009384141275701103,1.889541030111305e-07,0.9999883681660252,9
a_peak_m_s2,x2,-0.18184452517210214,-0.8201158074943051,8.569808522094526e-14,1
a_peak_m_s2,x1,-0.121211728588602,-0.5466628955429922,5.98276794501489e-11,2
a_peak_m_s2,x1^2,-0.0174782334699653,-0.04551052668710754,0.24740870386837824,3
a_peak_m_s2,x2^2,-0.016416962150529964,-0.042747145777450916,0.2761728426725917,4
a_peak_m_s2,x1x2,-0.0031166427034368485,-0.011476681785725005,0.7662626103480948,5
a_peak_m_s2,x3,-4.341686009947465e-05,-0.00019580932252785026,0.9959478976467431,6
a_peak_m_s2,x2x3,-2.0607999350838476e-05,-7.588661046362159e-05,0.9984295868361632,7
a_peak_m_s2,x1x3,-1.680027754472966e-05,-6.186510859268619e-05,0.9987197503846417,8
a_peak_m_s2,x3^2,-7.530683463790274e-06,-1.9608696230081152e-05,0.9995942133305299,9
a_rms_m_s2,x2,-0.1086491478670205,-0.6172515978043182,3.886127057920435e-33,1
a_rms_m_s2,x1,-0.10750643952925286,-0.6107597056803719,4.651193435490385e-33,2
a_rms_m_s2,x3,-0.08620422798816904,-0.4897387463020905,1.984239850452477e-31,3
a_rms_m_s2,x1x2,0.013641378771288503,0.06327738695605223,2.2137705750150983e-16,4
a_rms_m_s2,x2^2,0.009135755763689317,0.029965377380646627,4.554765715126708e-11,5
a_rms_m_s2,x1^2,0.007134612887682087,0.023401607176709673,2.104158499456906e-09,6
a_rms_m_s2,x3^2,0.004723457588410349,0.015492991804876857,7.696626166312883e-07,7
a_rms_m_s2,x1x3,0.0032605369000816963,0.015124442959182536,1.0586108884614845e-06,8
a_rms_m_s2,x2x3,0.002545383661968696,0.011807107597437744,2.272616530555328e-05,9
j_peak_m_s3,x2,0.6600365358918974,0.7139866314156582,3.1134257723607444e-47,1
j_peak_m_s3,x1,0.6466308301314188,0.6994851694856153,4.413006741896356e-47,2
j_peak_m_s3,x1x2,-0.03053142252217208,-0.026966433627356044,4.6982442129352374e-23,3
j_peak_m_s3,x2^2,-0.015076159514588445,-0.009415691061498716,2.33833990394481e-15,4
j_peak_m_s3,x1^2,-0.014187357669587324,-0.008860597200935443,6.413838942116035e-15,5
j_peak_m_s3,x3,-0.006120157345908616,-0.006620407037368567,7.723715372197078e-13,6
j_peak_m_s3,x2x3,-0.00160420395035289,-0.001416889741069817,0.0008528835503058957,7
j_peak_m_s3,x1x3,-0.001208967296228858,-0.0010678027310297839,0.007339414331559991,8
j_peak_m_s3,x3^2,-0.0006480306914408374,-0.0004047222227300035,0.2646324238124026,9
j_rms_m_s3,x3,-0.7211254386318029,-0.9124361009814335,4.787357117794543e-16,1
j_rms_m_s3,x2,-0.2594486378882238,-0.3282789524230695,6.365273354422459e-09,2
j_rms_m_s3,x1^2,-0.2688222992476523,-0.1963795713989994,7.211856074364508e-06,3
j_rms_m_s3,x1,-0.035834892685536544,-0.04534169509137748,0.16067576878079434,4
j_rms_m_s3,x3^2,0.06062667586209146,0.04428888769445179,0.17005476617998438,5
j_rms_m_s3,x1x3,-0.024744189313759705,-0.025563436991121662,0.4196965024069649,6
j_rms_m_s3,x1x2,0.011071243806443505,0.011437798178418548,0.7159361813630601,7
j_rms_m_s3,x2x3,-0.006628823698819621,-0.006848295363461307,0.8273056244855416,8
j_rms_m_s3,x2^2,-0.008239883024939347,-0.006019384185553616,0.8479113647305351,9
u1_peak_m,x1,0.016525517916462996,0.7243524635709943,8.474343807954148e-19,1
u1_peak_m,x2,0.015129798269903563,0.6631747764600447,3.74499657601732e-18,2
u1_peak_m,x1x2,-0.004516534720055418,-0.16164213788393758,2.7698209857090313e-08,3
u1_peak_m,x2^2,0.0024084237569808203,0.06094907758597932,0.002100769234343459,4
u1_peak_m,x1^2,-0.0011581159802719918,-0.029308007168824084,0.09953110408665473,5
u1_peak_m,x3^2,3.862000336278346e-08,9.773419542580175e-07,0.9999543206774382,6
u1_peak_m,x1x3,1.8813745907087547e-08,6.733246390253581e-07,0.9999685299364767,7
u1_peak_m,x3,-6.160846403668642e-09,-2.7004444234296223e-07,0.9999873785760032,8
u1_peak_m,x2x3,5.935702730922612e-10,2.124327031096276e-08,0.9999990071252,9
u2_peak_m,x2,0.02631688564574372,0.9735006509997961,5.417776906227261e-23,1
u2_peak_m,x1,-0.005233693055261623,-0.19360207225942505,2.6218547858028736e-11,2
u2_peak_m,x1x2,-0.0031269326128094423,-0.09444405935167251,1.0479154277946752e-06,3
u2_peak_m,x1^2,0.0025564130836934953,0.05459742459607116,0.0005121769810022784,4
u2_peak_m,x2^2,-0.0005557910868975977,-0.01187005423795517,0.36571451958802736,5
u2_peak_m,x3,-2.1145437210538495e-08,-7.822010995994811e-07,0.9999518490993886,6
u2_peak_m,x1x3,2.2916401862463228e-08,6.921537127980157e-07,0.9999573922554512,7
u2_peak_m,x3^2,-1.684326242534937e-08,-3.5972228278976665e-07,0.9999778561396753,8
u2_peak_m,x2x3,4.974766542893289e-09,1.5025496383038323e-07,0.9999907505731735,9
t_manoeuvre_s,x3,1.138623918293056,0.7709526651953005,3.4475050631853726e-28,1
t_manoeuvre_s,x1,0.6549565395317116,0.44346555664844556,4.123926962477935e-24,2
t_manoeuvre_s,x2,0.6315433386661766,0.42761267553639487,7.647162447536259e-24,3
t_manoeuvre_s,x2x3,0.19084470362111602,0.10550715049373918,1.2379714699707844e-13,4
t_manoeuvre_s,x1x3,0.18684712497645095,0.10329711729045689,1.751651895641176e-13,5
t_manoeuvre_s,x1x2,0.08915614411873174,0.04928934645025032,1.9008148346036743e-08,6
t_manoeuvre_s,x3^2,0.09139988882714281,0.03572995356327296,1.6319292058842632e-06,7
t_manoeuvre_s,x1^2,0.024710244005761817,0.009659703990808599,0.07013447746618298,8
t_manoeuvre_s,x2^2,0.024470028543413264,0.009565799201371425,0.07264654828116386,9
distance_m,x3,5.154295411026478,0.8613859611747124,1.9272898956040365e-27,1
distance_m,x1,2.0211375903740474,0.3377725580544432,1.5132347669788294e-20,2
distance_m,x2,1.9773744165562686,0.3304588554943534,2.1909835067846818e-20,3
distance_m,x2x3,0.8664655721313954,0.11823176290748925,6.181253465416349e-13,4
distance_m,x1x3,0.8480993853681715,0.1157256429775737,8.759162094779236e-13,5
