response,term,coefficient,std_coefficient,p_value,rank
P_mean_W,x3,3077.734503711275,0.9961563162114593,2.661702990724947e-44,1
P_mean_W,x3^2,-403.2187246257789,-0.07534881106170176,3.0263024798364347e-25,2
P_mean_W,x1,92.98840876050478,0.030097134957395154,1.6873489717792134e-18,3
P_mean_W,x2,92.98840876049806,0.03009713495739298,1.6873489717812523e-18,4
P_mean_W,x1x3,35.29698813952809,0.009327996170798512,3.677651203224999e-10,5
P_mean_W,x2x3,35.296988139521105,0.009327996170796667,3.6776512032362174e-10,6
P_mean_W,x1x2,2.469668040855981,0.0006526634492774049,0.38258432455348224,7
P_mean_W,x1^2,0.43465603768750166,8.122344935974638e-05,0.9124868156845909,8
P_mean_W,x2^2,0.4346560376791262,8.122344935818127e-05,0.9124868156862698,9
E_engine_J,x3,96010.33288223055,0.8341510982854513,1.0609614230462164e-33,1
E_engine_J,x1,43629.08854535038,0.3790555769860562,7.026762251787775e-28,2
E_engine_J,x2,43629.088545350336,0.3790555769860558,7.026762251787775e-28,3
E_engine_J,x1x3,12169.460342445765,0.08632815130908264,5.2579793549395324e-17,4
E_engine_J,x2x3,12169.460342445704,0.08632815130908221,5.2579793549399435e-17,5
E_engine_J,x3^2,7149.425913071025,0.0358622301374988,9.276035366691228e-11,6
E_engine_J,x1x2,2880.7622987675345,0.02043565422092691,3.816386798240924e-07,7
E_engine_J,x2^2,1445.9349289582926,0.007252953148496403,0.011550684721058368,8
E_engine_J,x1^2,1445.9349289573313,0.007252953148491581,0.011550684721104236,9
M_peak_Nm,x1x2,-0.035898860543069434,-0.5614207892351974,0.0008420828271951484,1
M_peak_Nm,x1x3,0.019003238440695364,0.2971908568128504,0.04706322522520782,2
M_peak_Nm,x2x3,0.019003238438762636,0.2971908567826246,0.04706322524517953,3
M_peak_Nm,x2^2,-0.024915358927375706,-0.2755243436736023,0.06353788999700652,4
M_peak_Nm,x1^2,-0.024915358924781562,-0.27552434364491524,0.06353789002190206,5
M_peak_Nm,x3,0.004832359883296179,0.09255773668042509,0.5138593310245746,6
M_peak_Nm,x1,0.004557596220110911,0.08729498651267391,0.5377928581422253,7
M_peak_Nm,x2,0.004557596217401384,0.08729498646077634,0.5377928583812202,8
M_peak_Nm,x3^2,0.00636629071763694,0.07040107576716406,0.6185529602110005,9
