response,term,coefficient,std_coefficient,p_value,rank
P_mean_W,x3,2991.5836729928096,0.9971817609122713,7.550189856537714e-69,1
P_mean_W,x3^2,-389.80482278989973,-0.07501701043589351,9.536706129880374e-50,2
P_mean_W,x2,2.3022621257695857,0.0007674108604690404,5.53218809372863e-16,3
P_mean_W,x1,1.8428961303128213,0.0006142908269603217,2.22868479729074e-14,4
P_mean_W,x1x2,-0.18415219014429854,-5.011923469835009e-05,0.07299325102531794,5
P_mean_W,x2x3,-0.1748988273838687,-4.7600820664959815e-05,0.08718552162801849,6
P_mean_W,x2^2,0.1369016301254201,2.6346392900697523e-05,0.3291498569077812,7
P_mean_W,x1x3,0.0738735029323901,2.0105562842106355e-05,0.45379000288615623,8
P_mean_W,x1^2,0.015771188872683226,3.0351277641482806e-06,0.9092170403728523,9
E_engine_J,x3,68161.38497372653,0.9992428724071611,3.872883368058104e-68,1
E_engine_J,x3^2,4494.928150583634,0.038044753940748396,5.216711735396004e-44,2
E_engine_J,x2,386.9997023826275,0.00567339842608235,5.82855545062616e-30,3
E_engine_J,x1,382.3818665729919,0.005605701158479828,7.147434744288782e-30,4
E_engine_J,x1x3,97.46087802872165,0.001166587565251912,2.5613597678858696e-18,5
E_engine_J,x2x3,94.95235782311039,0.0011365610711525375,3.972384920478014e-18,6
E_engine_J,x2^2,1.9694756062038585,1.6669502230108656e-05,0.5720486795009748,7
E_engine_J,x1x2,0.6615136964423851,7.918189001807382e-06,0.7876219314245481,8
E_engine_J,x1^2,-0.7303815604318314,-6.181897867684695e-06,0.833343001943837,9
M_peak_Nm,x3,-0.028163764465434542,-0.407823910477859,0.03434762102112705,1
M_peak_Nm,x1,-0.019448548172706366,-0.28162367920114445,0.13055944392534422,2
M_peak_Nm,x2,-0.01793076587453605,-0.25964551243819,0.16125540429064789,3
M_peak_Nm,x2^2,0.02986743008674735,0.24970038352096532,0.17698523901921812,4
M_peak_Nm,x1x2,-0.01589804797444888,-0.18796637009441866,0.3038246793047342,5
M_peak_Nm,x3^2,-0.017507589085769635,-0.14636852573345158,0.4204229156406085,6
M_peak_Nm,x2x3,-0.011364065538158651,-0.13436002659922822,0.45886688702962053,7
M_peak_Nm,x1x3,-0.010366280777715394,-0.12256298209052655,0.4986545307677476,8
M_peak_Nm,x1^2,-0.0028061049924708718,-0.023459852112652217,0.896269673874923,9
M_mean_Nm,x3,-1405.9269903973568,-0.9996692998781104,2.409504054965503e-69,1
M_mean_Nm,x3^2,62.62076547313347,0.025706996080967468,2.5618797422493182e-42,2
M_mean_Nm,x2,-0.6644662169497035,-0.0004724615733445952,5.726566268274206e-13,3
M_mean_Nm,x1,-0.6250749501219004,-0.00044445283576432273,1.5457442164790355e-12,4
M_mean_Nm,x2^2,-0.16270590183645744,-6.679381750219274e-05,0.01463820552120836,5
M_mean_Nm,x1x2,-0.09167581168541708,-5.322341303221695e-05,0.044888478466016825,6
M_mean_Nm,x1x3,-0.08978088838914654,-5.212329421780322e-05,0.0489807116677702,7
M_mean_Nm,x2x3,-0.023195162607359286,-1.3466209866100307e-05,0.5909371035975456,8
M_mean_Nm,x1^2,-0.008034815693678567,-3.298442201849297e-06,0.894832850520917,9
F_kch_peak_N,x2,-255.25085099059424,-0.6598851723927723,5.003972721702848e-08,1
F_kch_peak_N,x2^2,-327.8616317436487,-0.48936301120886283,2.8775549178545428e-06,2
F_kch_peak_N,x1x2,-195.27150986520473,-0.41218712866927915,2.3071608596303348e-05,3
F_kch_peak_N,x1,-98.94823012014857,-0.2558051016770165,0.0023319037083573196,4
F_kch_peak_N,x1^2,-34.83320070237303,-0.05199168897897782,0.4773484884704018,5
F_kch_peak_N,x3,-0.040782337776112176,-0.00010543220478807227,0.9988414874390856,6
F_kch_peak_N,x1x3,-0.030942946953514353,-6.531564418249822e-05,0.9992822969772183,7
F_kch_peak_N,x2x3,-0.011855208423318076,-2.502446118820154e-05,0.9997250255445488,8
F_kch_peak_N,x3^2,0.0014836064723224257,2.2144162672634084e-06,0.9999756674912721,9
F_chv1_peak_N,x2,277.40923770757024,0.857217031983741,3.0106499234266684e-27,1
F_chv1_peak_N,x1,148.86318856455276,0.45999931987650455,1.1651232850778242e-22,2
F_chv1_peak_N,x2^2,95.90472430590656,0.17109969931619212,1.9913367203897106e-15,3
F_chv1_peak_N,x1x2,58.97056889057838,0.14878514082899963,2.0204232075314532e-14,4
F_chv1_peak_N,x1^2,21.63423607518179,0.038596756460006286,1.1491403165095268e-05,5
F_chv1_peak_N,x3,-0.003113353083354415,-9.620513403536421e-06,0.9988020338047541,6
F_chv1_peak_N,x2x3,0.002627029307749033,6.6281016593312325e-06,0.9991746549168014,7
F_chv1_peak_N,x3^2,0.0019177955657115639,3.4214606946424035e-06,0.9995739524965628,8
F_chv1_peak_N,x1x3,0.0012562186808584167,3.169490762253803e-06,0.9996053283211855,9
F_v1v2_peak_N,x2,233.70546489030403,0.9720048657787034,3.170920384920415e-29,1
F_v1v2_peak_N,x2^2,65.80582082860289,0.15801679698929205,6.995020208567851e-16,2
F_v1v2_peak_N,x1,34.943515179309486,0.1453336437709889,2.817049699849224e-15,3
F_v1v2_peak_N,x1x2,27.0028758551976,0.09169886522695049,5.337732603465138e-12,4
F_v1v2_peak_N,x1^2,-5.842969295754702,-0.014030480607889098,0.020202940505861907,5
F_v1v2_peak_N,x1x3,-0.002954269719896362,-1.0032382563307342e-05,0.9985596322111994,6
F_v1v2_peak_N,x2x3,0.002425077568124293,8.235302872065257e-06,0.9988176420501822,7
F_v1v2_peak_N,x3^2,0.0033527679990830754,8.050863184933137e-06,0.9988441223831435,8
F_v1v2_peak_N,x3,-0.001541693209409512,-6.4120593063042334e-06,0.9990794084195006,9
a_peak_m_s2,x2,-0.04874305793766291,-0.7502283001955952,2.7662238446047352e-11,1
a_peak_m_s2,x2^2,-0.04792328356352837,-0.42585976560225464,1.400310191721015e-07,2
a_peak_m_s2,x1,-0.022462543408677375,-0.34573201749290583,2.293908262031915e-06,3
a_peak_m_s2,x1x2,-0.024208434869479076,-0.3042298012949592,1.1197199272779838e-05,4
a_peak_m_s2,x1^2,-0.004758395366833155,-0.042284438479182264,0.40635230733752625,5
a_peak_m_s2,x3,-1.9541777621562955e-05,-0.0003007770794063652,0.9952381120462626,6
a_peak_m_s2,x3^2,3.7612842968759355e-06,3.342382929391025e-05,0.9994708321925352,7
a_peak_m_s2,x1x3,-2.259801448093737e-06,-2.839914885973843e-05,0.9995503831850665,8
a_peak_m_s2,x2x3,1.396308181655146e-07,1.7547543364194855e-06,0.9999722186356717,9
a_rms_m_s2,x3,-0.09594110502040541,-0.9988225723340974,4.3560133480346473e-54,1
a_rms_m_s2,x2,-0.0030745425682438612,-0.03200841303746575,1.0932524815606193e-28,2
a_rms_m_s2,x3^2,0.004517214803394002,0.02715149500251863,1.790057196334303e-27,3
a_rms_m_s2,x1,-0.002273424430711214,-0.02366814138118586,1.8433684363827886e-26,4
a_rms_m_s2,x2^2,-0.0006174906796206454,-0.003711533728532199,6.155368286019991e-13,5
a_rms_m_s2,x1x2,-0.00035669231504334073,-0.003032017860020444,1.6058324822663866e-11,6
