response,term,coefficient,std_coefficient,p_value,rank
P_mean_W,x3,2992.405883987475,0.9971807541989506,5.0078840968956276e-80,1
P_mean_W,x3^2,-390.01114410344354,-0.07503601770461153,6.298306655080954e-61,2
P_mean_W,x1,0.7363451587615574,0.0002453775487789641,1.0444796627447851e-18,3
P_mean_W,x2,0.7363451587602929,0.00024537754877854276,1.0444796627749906e-18,4
P_mean_W,x1x3,0.35362451271070383,9.621662529932652e-05,5.701887698368229e-12,5
P_mean_W,x2x3,0.3536245127055577,9.621662529792633e-05,5.701887699701718e-12,6
P_mean_W,x1x2,-0.002849699950947801,-7.753662501902526e-07,0.8946764499252721,7
P_mean_W,x2^2,-0.0014289362152890308,-2.749195369677684e-07,0.9625517008672861,8
P_mean_W,x1^2,-0.0014289362125742382,-2.749195364454571e-07,0.9625517009383762,9
E_engine_J,x3,68156.34211716,0.999245778733768,5.186586227394036e-72,1
E_engine_J,x3^2,4492.430390463727,0.0380265370264465,7.044072771734948e-48,2
E_engine_J,x1,370.96340173954496,0.005438725168316077,1.604246241058699e-33,3
E_engine_J,x2,370.9634017395257,0.0054387251683157955,1.6042462410601126e-33,4
E_engine_J,x1x3,96.91229151658318,0.001160110296097493,3.9801339583444846e-22,5
E_engine_J,x2x3,96.91229151656806,0.001160110296097312,3.9801339583549507e-22,6
E_engine_J,x1x2,0.1890104377218018,2.262591787270197e-06,0.8964171359665174,7
E_engine_J,x1^2,0.09442375722740601,7.992574593934913e-07,0.9633108389308206,8
E_engine_J,x2^2,0.09442375715301868,7.992574587638338e-07,0.9633108389597023,9
M_peak_Nm,x3^2,0.03668283302061132,0.7876022626341785,2.0993953756555482e-07,1
M_peak_Nm,x1,0.00691725381061881,0.25723995493654134,0.014543194004015724,2
M_peak_Nm,x2,0.00691725381018302,0.2572399549203351,0.014543194009227666,3
M_peak_Nm,x3,-0.0052153595341990185,-0.19394963496867823,0.05600197841818823,4
M_peak_Nm,x1x2,-0.005785691787890661,-0.17567678641347337,0.080603261042804,5
M_peak_Nm,x2x3,-0.002702744458184173,-0.0820661518652595,0.3975551178401956,6
M_peak_Nm,x1x3,-0.0027027444562514416,-0.08206615180657405,0.3975551181705108,7
M_peak_Nm,x1^2,-0.0038093097002061195,-0.08178814698610931,0.39912191009315245,8
M_peak_Nm,x2^2,-0.0038093096991622705,-0.08178814696369727,0.3991219102196263,9
M_mean_Nm,x3,-1405.9651439238178,-0.999668905989659,1.940346734941045e-85,1
M_mean_Nm,x3^2,62.667297251481024,0.025725389984072037,2.0383574030047283e-58,2
M_mean_Nm,x2,-0.5177381313072085,-0.00036812200754036034,4.572855536223349e-27,3
M_mean_Nm,x1,-0.5177381313053926,-0.0003681220075390692,4.572855536495809e-27,4
M_mean_Nm,x2x3,-0.13089265914280074,-7.598909828944697e-05,1.7140771723906275e-15,5
M_mean_Nm,x1x3,-0.13089265914187237,-7.598909828890801e-05,1.7140771725929712e-15,6
M_mean_Nm,x1x2,3.6692183563844666e-06,2.1301469169829895e-09,0.9993973469216777,7
M_mean_Nm,x1^2,-9.862264967126293e-07,-4.0485328637590044e-10,0.9998854604338598,8
M_mean_Nm,x2^2,-9.86225681013088e-07,-4.048529515251931e-10,0.9998854605285945,9
F_kch_peak_N,x1,47.948170119272255,0.7071045978590087,1.7597447583431818e-48,1
F_kch_peak_N,x2,47.94817011927182,0.7071045978590023,1.759744758343432e-48,2
F_kch_peak_N,x1x2,-0.1575143183378567,-0.001896644920334253,5.833594115386909e-06,3
F_kch_peak_N,x1^2,-0.07480649749656718,-0.0006369279650434593,0.04441134475450093,4
F_kch_peak_N,x2^2,-0.07480649749649577,-0.0006369279650428514,0.04441134475468107,5
F_kch_peak_N,x3,-0.036799787372111446,-0.0005426963904216838,0.08184940936001252,6
F_kch_peak_N,x3^2,-0.010751318706391053,-9.154038451686063e-05,0.7588582338485435,7
F_kch_peak_N,x1x3,0.0007314340557645462,8.807267180941056e-06,0.97640460822356,8
F_kch_peak_N,x2x3,0.0007314340547141478,8.80726716829311e-06,0.976404608257434,9
a_peak_m_s2,x2,-0.003024686377620646,-0.7070951350745529,7.801984481264941e-46,1
a_peak_m_s2,x1,-0.003024686377620445,-0.7070951350745058,7.80198448127381e-46,2
a_peak_m_s2,x3,-2.3272860390699076e-05,-0.005440605837117467,3.089372892968497e-10,3
a_peak_m_s2,x3^2,-4.243849667079019e-06,-0.0005727918931458278,0.19036145838289936,4
a_peak_m_s2,x1x2,-6.098944425184881e-07,-0.0001164143574282114,0.7849570013269433,5
a_peak_m_s2,x1^2,4.802032257907219e-08,6.481297321370916e-06,0.9878657640165251,6
a_peak_m_s2,x2^2,4.802032250216335e-08,6.481297310990539e-06,0.9878657640359576,7
a_peak_m_s2,x1x3,2.072394531063057e-08,3.955708739945305e-06,0.9925939565736209,8
a_peak_m_s2,x2x3,2.0723945104263502e-08,3.955708700554735e-06,0.9925939566473673,9
a_rms_m_s2,x3,-0.09621022925867606,-0.9993448325325723,4.208743389934917e-86,1
a_rms_m_s2,x3^2,0.004551100521703366,0.02729291497583521,1.6086611138675283e-59,2
a_rms_m_s2,x2,-0.00161657648333092,-0.016791534200244602,6.20548836221515e-56,3
a_rms_m_s2,x1,-0.0016165764833308174,-0.016791534200243537,6.205488362221852e-56,4
a_rms_m_s2,x1x3,8.705519365688974e-05,0.000738317526535714,7.218991670449084e-33,5
a_rms_m_s2,x2x3,8.70551936568108e-05,0.0007383175265350445,7.218991670560189e-33,6
a_rms_m_s2,x1x2,3.1739088776015794e-06,2.6918009753632705e-05,6.54219853679709e-09,7
a_rms_m_s2,x1^2,1.5873423910365376e-06,9.519280163006455e-06,0.001599198474612155,8
a_rms_m_s2,x2^2,1.5873423910222418e-06,9.519280162920725e-06,0.0015991984747293858,9
j_peak_m_s3,x2,-0.04704219331390234,-0.7059953320989718,1.3200522808422315e-43,1
j_peak_m_s3,x1,-0.0470421933139021,-0.7059953320989683,1.3200522808423625e-43,2
j_peak_m_s3,x3,-0.003608860360685542,-0.05416070955365178,1.1779221299029804e-24,3
j_peak_m_s3,x3^2,-0.0016015436706763064,-0.013876898937227884,1.0799524176154831e-14,4
j_peak_m_s3,x1x2,0.00020572213650402367,0.0025208654370101956,0.00035455563293298293,5
j_peak_m_s3,x1^2,0.00011028242649781772,0.0009555643814671782,0.11020658771969528,6
j_peak_m_s3,x2^2,0.00011028242649514963,0.0009555643814440599,0.11020658772767629,7
j_peak_m_s3,x2x3,-7.264342820035121e-05,-0.0008901536338682514,0.13486485252208044,8
j_peak_m_s3,x1x3,-7.264342819823062e-05,-0.0008901536338422662,0.134864852532735,9
j_rms_m_s3,x3,-0.7303666364762882,-0.9985766173525871,3.0446801808285232e-71,1
j_rms_m_s3,x3^2,0.059326827006951126,0.04683073352507129,1.1857394625801726e-48,2
j_rms_m_s3,x2,-0.013167144268313849,-0.01800246852331845,1.3561702520072757e-41,3
j_rms_m_s3,x1,-0.013167144268312675,-0.01800246852331685,1.356170252009357e-41,4
j_rms_m_s3,x1x3,0.001173672865253186,0.001310212989466756,2.922465908920072e-22,5
j_rms_m_s3,x2x3,0.0011736728652520197,0.0013102129894654539,2.9224659089692327e-22,6
j_rms_m_s3,x1x2,5.36577537105848e-05,5.990006924293199e-05,0.005783774092139246,7
j_rms_m_s3,x1^2,2.6803773643649764e-05,2.115805689094107e-05,0.2806460606179001,8
j_rms_m_s3,x2^2,2.680377364237817e-05,2.1158056889937317e-05,0.2806460606399377,9
t_manoeuvre_s,x3,0.7384219785620827,0.9992340695270183,5.173239690487945e-72,1
t_manoeuvre_s,x3^2,0.04867198125455352,0.038026032606908025,7.026131227854357e-48,2
t_manoeuvre_s,x1,0.004749070724193336,0.00642645181749335,9.37934267830226e-35,3
t_manoeuvre_s,x2,0.004749070724193146,0.006426451817493091,9.379342678308391e-35,4
t_manoeuvre_s,x1x3,0.0010499580771382107,0.001160082693358567,3.9707398928121536e-22,5
t_manoeuvre_s,x2x3,0.0010499580771379103,0.0011600826933582352,3.9707398928313706e-22,6
t_manoeuvre_s,x1x2,2.4596682411552834e-06,2.7176499901265504e-06,0.8757331669455566,7
t_manoeuvre_s,x1^2,1.2289709842814851e-06,9.601600246519549e-07,0.9559250773203736,8
t_manoeuvre_s,x2^2,1.228970983240196e-06,9.601600238384253e-07,0.9559250773576762,9
distance_m,x3,3.339200714012543,0.9975565644009341,6.605715997098264e-68,1
distance_m,x3^2,0.40368505435332314,0.06962689842796069,2.9828899901860604e-48,2
distance_m,x1,0.013028431511005375,0.0038921282338952486,5.823607888352925e-27,3
distance_m,x2,0.013028431511005025,0.003892128233895144,5.823607888355531e-27,4
distance_m,x1x3,0.0047487453769620245,0.00115831921421806,4.760308283998595e-18,5
distance_m,x2x3,0.00474874537696146,0.0011583192142179224,4.760308284008104e-18,6
distance_m,x1x2,7.166886040718001e-06,1.7481547541691337e-06,0.9539111047919696,7
distance_m,x1^2,3.5814610728994873e-06,6.177241977559353e-07,0.983705474958067,8
distance_m,x2^2,3.581461069941057e-06,6.177241972456703e-07,0.9837054749715249,9
