run_id,x1_coded,x2_coded,x3_coded,front_fill_pct,rear_fill_pct,speed_factor_mps,lambda_1,lambda_2,front_unit_mass_kg,rear_unit_mass_kg,front_liquid_mass_kg,rear_liquid_mass_kg,scale,total_movable_mass_kg,load_asymmetry,randomized_run_id
1,-1,-1,-1,0.0,0.0,4.0,0.0,0.0,700.0,700.0,0.0,0.0,full_scale,1400.0,0.0,8
2,-1,-1,0,0.0,0.0,4.5,0.0,0.0,700.0,700.0,0.0,0.0,full_scale,1400.0,0.0,20
3,-1,-1,1,0.0,0.0,5.0,0.0,0.0,700.0,700.0,0.0,0.0,full_scale,1400.0,0.0,23
4,-1,0,-1,0.0,50.0,4.0,0.0,0.5,700.0,3200.0,0.0,2500.0,full_scale,3900.0,0.6410256410256409,22
5,-1,0,0,0.0,50.0,4.5,0.0,0.5,700.0,3200.0,0.0,2500.0,full_scale,3900.0,0.6410256410256409,18
6,-1,0,1,0.0,50.0,5.0,0.0,0.5,700.0,3200.0,0.0,2500.0,full_scale,3900.0,0.6410256410256409,6
7,-1,1,-1,0.0,100.0,4.0,0.0,1.0,700.0,5700.0,0.0,5000.0,full_scale,6400.0,0.7812499999999999,16
8,-1,1,0,0.0,100.0,4.5,0.0,1.0,700.0,5700.0,0.0,5000.0,full_scale,6400.0,0.7812499999999999,27
9,-1,1,1,0.0,100.0,5.0,0.0,1.0,700.0,5700.0,0.0,5000.0,full_scale,6400.0,0.7812499999999999,19
10,0,-1,-1,50.0,0.0,4.0,0.5,0.0,3200.0,700.0,2500.0,0.0,full_scale,3900.0,0.6410256410256409,11
11,0,-1,0,50.0,0.0,4.5,0.5,0.0,3200.0,700.0,2500.0,0.0,full_scale,3900.0,0.6410256410256409,10
12,0,-1,1,50.0,0.0,5.0,0.5,0.0,3200.0,700.0,2500.0,0.0,full_scale,3900.0,0.6410256410256409,7
13,0,0,-1,50.0,50.0,4.0,0.5,0.5,3200.0,3200.0,2500.0,2500.0,full_scale,6400.0,0.0,17
14,0,0,0,50.0,50.0,4.5,0.5,0.5,3200.0,3200.0,2500.0,2500.0,full_scale,6400.0,0.0,4
15,0,0,1,50.0,50.0,5.0,0.5,0.5,3200.0,3200.0,2500.0,2500.0,full_scale,6400.0,0.0,1
16,0,1,-1,50.0,100.0,4.0,0.5,1.0,3200.0,5700.0,2500.0,5000.0,full_scale,8900.0,0.28089887640449435,24
17,0,1,0,50.0,100.0,4.5,0.5,1.0,3200.0,5700.0,2500.0,5000.0,full_scale,8900.0,0.28089887640449435,21
18,0,1,1,50.0,100.0,5.0,0.5,1.0,3200.0,5700.0,2500.0,5000.0,full_scale,8900.0,0.28089887640449435,13
19,1,-1,-1,100.0,0.0,4.0,1.0,0.0,5700.0,700.0,5000.0,0.0,full_scale,6400.0,0.7812499999999999,12
20,1,-1,0,100.0,0.0,4.5,1.0,0.0,5700.0,700.0,5000.0,0.0,full_scale,6400.0,0.7812499999999999,15
21,1,-1,1,100.0,0.0,5.0,1.0,0.0,5700.0,700.0,5000.0,0.0,full_scale,6400.0,0.7812499999999999,26
22,1,0,-1,100.0,50.0,4.0,1.0,0.5,5700.0,3200.0,5000.0,2500.0,full_scale,8900.0,0.28089887640449435,3
23,1,0,0,100.0,50.0,4.5,1.0,0.5,5700.0,3200.0,5000.0,2500.0,full_scale,8900.0,0.28089887640449435,5
24,1,0,1,100.0,50.0,5.0,1.0,0.5,5700.0,3200.0,5000.0,2500.0,full_scale,8900.0,0.28089887640449435,25
25,1,1,-1,100.0,100.0,4.0,1.0,1.0,5700.0,5700.0,5000.0,5000.0,full_scale,11400.0,0.0,2
26,1,1,0,100.0,100.0,4.5,1.0,1.0,5700.0,5700.0,5000.0,5000.0,full_scale,11400.0,0.0,14
27,1,1,1,100.0,100.0,5.0,1.0,1.0,5700.0,5700.0,5000.0,5000.0,full_scale,11400.0,0.0,9
