run_id,x1_coded,x2_coded,x3_coded,front_fill_pct,rear_fill_pct,speed_factor_mps,lambda_1,lambda_2,front_unit_mass_kg,rear_unit_mass_kg,front_liquid_mass_kg,rear_liquid_mass_kg,scale,total_movable_mass_kg,load_asymmetry,randomized_run_id
1,-1,-1,-1,0.0,0.0,4.0,0.0,0.0,40.0,40.0,0.0,0.0,rig_scale,80.0,0.0,8
2,-1,-1,0,0.0,0.0,4.5,0.0,0.0,40.0,40.0,0.0,0.0,rig_scale,80.0,0.0,20
3,-1,-1,1,0.0,0.0,5.0,0.0,0.0,40.0,40.0,0.0,0.0,rig_scale,80.0,0.0,23
4,-1,0,-1,0.0,50.0,4.0,0.0,0.5,40.0,65.0,0.0,25.0,rig_scale,105.0,0.23809523809523583,22
5,-1,0,0,0.0,50.0,4.5,0.0,0.5,40.0,65.0,0.0,25.0,rig_scale,105.0,0.23809523809523583,18
6,-1,0,1,0.0,50.0,5.0,0.0,0.5,40.0,65.0,0.0,25.0,rig_scale,105.0,0.23809523809523583,6
7,-1,1,-1,0.0,100.0,4.0,0.0,1.0,40.0,90.0,0.0,50.0,rig_scale,130.0,0.3846153846153817,16
8,-1,1,0,0.0,100.0,4.5,0.0,1.0,40.0,90.0,0.0,50.0,rig_scale,130.0,0.3846153846153817,27
9,-1,1,1,0.0,100.0,5.0,0.0,1.0,40.0,90.0,0.0,50.0,rig_scale,130.0,0.3846153846153817,19
10,0,-1,-1,50.0,0.0,4.0,0.5,0.0,65.0,40.0,25.0,0.0,rig_scale,105.0,0.23809523809523583,11
11,0,-1,0,50.0,0.0,4.5,0.5,0.0,65.0,40.0,25.0,0.0,rig_scale,105.0,0.23809523809523583,10
12,0,-1,1,50.0,0.0,5.0,0.5,0.0,65.0,40.0,25.0,0.0,rig_scale,105.0,0.23809523809523583,7
13,0,0,-1,50.0,50.0,4.0,0.5,0.5,65.0,65.0,25.0,25.0,rig_scale,130.0,0.0,17
14,0,0,0,50.0,50.0,4.5,0.5,0.5,65.0,65.0,25.0,25.0,rig_scale,130.0,0.0,4
15,0,0,1,50.0,50.0,5.0,0.5,0.5,65.0,65.0,25.0,25.0,rig_scale,130.0,0.0,1
16,0,1,-1,50.0,100.0,4.0,0.5,1.0,65.0,90.0,25.0,50.0,rig_scale,155.0,0.16129032258064413,24
17,0,1,0,50.0,100.0,4.5,0.5,1.0,65.0,90.0,25.0,50.0,rig_scale,155.0,0.16129032258064413,21
18,0,1,1,50.0,100.0,5.0,0.5,1.0,65.0,90.0,25.0,50.0,rig_scale,155.0,0.16129032258064413,13
19,1,-1,-1,100.0,0.0,4.0,1.0,0.0,90.0,40.0,50.0,0.0,rig_scale,130.0,0.3846153846153817,12
20,1,-1,0,100.0,0.0,4.5,1.0,0.0,90.0,40.0,50.0,0.0,rig_scale,130.0,0.3846153846153817,15
21,1,-1,1,100.0,0.0,5.0,1.0,0.0,90.0,40.0,50.0,0.0,rig_scale,130.0,0.3846153846153817,26
22,1,0,-1,100.0,50.0,4.0,1.0,0.5,90.0,65.0,50.0,25.0,rig_scale,155.0,0.16129032258064413,3
23,1,0,0,100.0,50.0,4.5,1.0,0.5,90.0,65.0,50.0,25.0,rig_scale,155.0,0.16129032258064413,5
24,1,0,1,100.0,50.0,5.0,1.0,0.5,90.0,65.0,50.0,25.0,rig_scale,155.0,0.16129032258064413,25
25,1,1,-1,100.0,100.0,4.0,1.0,1.0,90.0,90.0,50.0,50.0,rig_scale,180.0,0.0,2
26,1,1,0,100.0,100.0,4.5,1.0,1.0,90.0,90.0,50.0,50.0,rig_scale,180.0,0.0,14
27,1,1,1,100.0,100.0,5.0,1.0,1.0,90.0,90.0,50.0,50.0,rig_scale,180.0,0.0,9
