run_id,x1_coded,x2_coded,x3_coded,front_fill_pct,rear_fill_pct,speed_factor_mps,lambda_1,lambda_2,front_unit_mass_kg,rear_unit_mass_kg,front_liquid_mass_kg,rear_liquid_mass_kg,scale,total_movable_mass_kg,load_asymmetry,randomized_run_id,P_peak_W__rigid,P_peak_W__compliant,P_peak_W__reduction_pct,P_mean_W__rigid,P_mean_W__compliant,P_mean_W__reduction_pct,E_engine_J__rigid,E_engine_J__compliant,E_engine_J__reduction_pct,M_peak_Nm__rigid,M_peak_Nm__compliant,M_peak_Nm__reduction_pct,M_mean_Nm__rigid,M_mean_Nm__compliant,M_mean_Nm__reduction_pct,F_kch_peak_N__rigid,F_kch_peak_N__compliant,F_kch_peak_N__reduction_pct,F_chv1_peak_N__rigid,F_chv1_peak_N__compliant,F_chv1_peak_N__reduction_pct,F_v1v2_peak_N__rigid,F_v1v2_peak_N__compliant,F_v1v2_peak_N__reduction_pct,a_peak_m_s2__rigid,a_peak_m_s2__compliant,a_peak_m_s2__reduction_pct,a_rms_m_s2__rigid,a_rms_m_s2__compliant,a_rms_m_s2__reduction_pct,j_peak_m_s3__rigid,j_peak_m_s3__compliant,j_peak_m_s3__reduction_pct,j_rms_m_s3__rigid,j_rms_m_s3__compliant,j_rms_m_s3__reduction_pct,u1_peak_m__rigid,u1_peak_m__compliant,u1_peak_m__reduction_pct,u2_peak_m__rigid,u2_peak_m__compliant,u2_peak_m__reduction_pct,du1_peak_m_s__rigid,du1_peak_m_s__compliant,du1_peak_m_s__reduction_pct,du2_peak_m_s__rigid,du2_peak_m_s__compliant,du2_peak_m_s__reduction_pct,t_manoeuvre_s__rigid,t_manoeuvre_s__compliant,t_manoeuvre_s__reduction_pct,distance_m__rigid,distance_m__compliant,distance_m__reduction_pct,v_end_m_s__rigid,v_end_m_s__compliant,v_end_m_s__reduction_pct,v_mean_m_s__rigid,v_mean_m_s__compliant,v_mean_m_s__reduction_pct,settling_time_s__rigid,settling_time_s__compliant,settling_time_s__reduction_pct,wall_time_s__rigid,wall_time_s__compliant,wall_time_s__reduction_pct,braking_time_s__rigid,braking_time_s__compliant,braking_time_s__reduction_pct,braking_distance_m__rigid,braking_distance_m__compliant,braking_distance_m__reduction_pct,mean_decel_m_s2__rigid,mean_decel_m_s2__compliant,mean_decel_m_s2__reduction_pct
1,-1,-1,-1,0.0,0.0,4.0,0.0,0.0,700.0,700.0,0.0,0.0,full_scale,1400.0,0.0,8,92300.00000000001,92300.00000000001,0.0,73947.48179016546,74091.57435377086,-0.19485797232998547,240251.89452647715,241412.7749953792,-0.48319305501839693,35499.96171313364,35499.9813000632,-5.517450896132776e-05,19629.121509937708,19617.797302807878,0.057690850423932016,38292.75970821232,35761.72910943635,6.609684488822976,0.0,4506.160986654025,,0.0,2404.543632717414,,2.8088297653324616,2.628236486888113,6.4294846442206115,1.3425351999029322,1.335645937144128,0.5131532312376093,27.502764083455645,30.211982780237577,-9.850714235707198,7.517817575199427,7.412794634456276,1.396987086912187,0.0,0.022530810461431787,,0.0,0.016030318719792595,,0.0,0.10167950334543328,,0.0,0.10905906619795187,,3.248953023285089,3.2583026761273377,-0.2877743314612438,7.2741874602133745,7.3158682266327695,-0.5729954946496852,3.9999999999999996,3.9999999999999996,0.0,2.2389328032618514,2.2453003891255006,-0.2844027232247599,0.0,3.2583026761273377,,0.11556267738342285,0.671220064163208,-480.8277199533737,,,,,,,,,
2,-1,-1,0,0.0,0.0,4.5,0.0,0.0,700.0,700.0,0.0,0.0,full_scale,1400.0,0.0,20,92300.00000000001,92300.00000000001,0.0,77349.49877721796,77488.2273751499,-0.1793529371554279,308489.77975000045,310379.11459819344,-0.6124464965173562,35499.8496319202,35499.8766664516,-7.615393213969224e-05,18154.499035564273,18135.932079185706,0.10227192908046959,38292.75706802417,35761.76349244482,6.6095882599501286,0.0,4506.177920134977,,0.0,2404.548359561038,,2.808811734112396,2.628193907092623,6.430399902784863,1.2462675741414824,1.2388723420865735,0.5933903929100656,27.499092469182585,30.209501228390934,-9.856357122497126,6.785089554928623,6.68540816063435,1.4691242243348954,0.0,0.02253063820417586,,0.0,0.016030323381569168,,0.0,0.10168252396555001,,0.0,0.1090569155466374,,3.9882582903156587,4.005500256129624,-0.43231818400107774,10.420484638809116,10.495812553075176,-0.7228830220191044,4.5,4.5,0.0,2.6127908305268845,2.620350002292397,-0.2893140804535135,0.0,4.005500256129624,,0.12088251113891602,0.698636531829834,-477.9467395634869,,,,,,,,,
3,-1,-1,1,0.0,0.0,5.0,0.0,0.0,700.0,700.0,0.0,0.0,full_scale,1400.0,0.0,23,92300.00000000001,92300.00000000001,0.0,79966.50957010593,80093.30253792867,-0.15855758680023307,386599.4806571987,389279.6966985018,-0.6932797831872143,35499.866593460196,35499.757314046015,0.00030783049252535246,16804.96270528104,16783.248500899073,0.12921304713840298,38292.642624602704,35761.721422164876,6.609419013593313,0.0,4506.18291348101,,0.0,2404.5259357199684,,2.808777413640712,2.6281898584555847,6.429400717483387,1.1586511431500661,1.1511285147229027,0.6492574120896657,27.498212769931968,30.20613596764707,-9.847633445749223,6.162151087176593,6.0684541468688185,1.5205232553086405,0.0,0.022530707684063293,,0.0,0.016030148079642453,,0.0,0.10168027848717953,,0.0,0.10905500574622701,,4.8345173840340046,4.860327697364658,-0.53387569596693,14.44475589518164,14.560811324666657,-0.8034433418409678,5.0,5.0,0.0,2.987838250485723,2.9958497243183,-0.268136129232397,0.0,4.860327697364658,,0.12547850608825684,0.7109673023223877,-466.6048508916102,,,,,,,,,
4,-1,0,-1,0.0,50.0,4.0,0.0,0.5,700.0,3200.0,0.0,2500.0,full_scale,3900.0,0.6410256410256409,22,92300.00000000001,92300.00000000001,0.0,73987.10112987658,74669.1497282542,-0.9218479815560708,269560.139983531,273095.7288803504,-1.311614134432286,35499.984096962566,35499.97751552836,1.8539259597433e-05,19582.62167091632,19599.18601157594,-0.08458694110514291,41564.70895133679,38281.808080199036,7.898289086978366,0.0,7824.580203046344,,0.0,6523.931373078839,,2.5065353069974208,2.411907171830535,3.77525642278867,1.203012914430284,1.1982237279569794,0.398099340070056,24.037313931550216,30.919574459332523,-28.631570679571585,6.766220165178693,7.380809897720491,-9.083206244229084,0.0,0.03912288558845957,,0.0,0.04349263903230746,,0.0,0.16910913115952125,,0.0,0.15895738519782118,,3.6433396614681044,3.6574104549768727,-0.38620592138528115,8.180312757993045,8.30144270026035,-1.4807495245086908,4.0,4.0,0.0,2.2452786624319065,2.2697596688059547,-1.090332651517397,0.0,3.6574104549768727,,0.12287306785583496,0.6937355995178223,-464.59532721342265,,,,,,,,,
5,-1,0,0,0.0,50.0,4.5,0.0,0.5,700.0,3200.0,0.0,2500.0,full_scale,3900.0,0.6410256410256409,18,92300.00000000001,92300.00000000001,0.0,77428.6878232625,78089.45185496662,-0.8533839979470811,347383.6637762989,354346.7158634317,-2.0044270393833736,35499.97574135144,35499.84752730101,0.00036116658602945164,18096.227028949295,18061.421960604806,0.19233328742400194,41564.394888394454,38281.71808192447,7.897809688519176,0.0,7824.582658682058,,0.0,6523.935262635255,,2.5064930578441817,2.41188759714953,3.774415428703455,1.1141975936262063,1.1044892838982494,0.8713274722090142,24.035515581198183,30.91602712243099,-28.626436233450704,6.097079436691083,6.6256861083453,-8.66983409258473,0.0,0.03912283380877493,,0.0,0.04349264463069446,,0.0,0.16910625579909622,,0.0,0.15896022530490275,,4.4864981383803295,4.537702691543411,-1.1413033413531553,11.768793153097022,12.048285038425037,-2.374855957549612,4.500000000000001,4.5,1.9737298215558335e-14,2.6231579390377786,2.655150835999671,-1.219632889265834,0.0,4.537702691543411,,0.13167333602905273,0.7324929237365723,-456.2955612934066,,,,,,,,,
6,-1,0,1,0.0,50.0,5.0,0.0,0.5,700.0,3200.0,0.0,2500.0,full_scale,3900.0,0.6410256410256409,6,92300.00000000001,92300.00000000001,0.0,80073.26055098194,80693.7301495124,-0.7748773988482828,436951.7474184221,448326.1456935725,-2.6031245652070467,35499.99973926044,35499.82885641268,0.00048136013808197664,16735.46594581386,16665.398736469517,0.41867498384094304,41564.706384303696,38281.249322258525,7.899627707427088,0.0,7824.56471799731,,0.0,6523.930918507199,,2.506484128056343,2.411869538483529,3.774793086209674,1.0334094098930118,1.020086924878812,1.2891778308443134,24.032922723806735,30.907113703868674,-28.603225080287242,5.527825622812717,5.98691109336466,-8.304991905991914,0.0,0.0391228697666661,,0.0,0.04349256944324571,,0.0,0.16910740207697245,,0.0,0.15895775516560404,,5.4568996492932715,5.555898145529979,-1.814189422551119,16.383679050786608,16.890616539109846,-3.0941614929822467,5.0,5.0,0.0,3.002378672603192,3.0401235174630905,-1.2571647009193572,0.0,5.555898145529979,,0.13902926445007324,0.7584249973297119,-445.51464422231027,,,,,,,,,
7,-1,1,-1,0.0,100.0,4.0,0.0,1.0,700.0,5700.0,0.0,5000.0,full_scale,6400.0,0.7812499999999999,16,92300.00000000001,92300.00000000001,0.0,74049.6910482716,75380.53314744298,-1.7972284290880136,300480.70642089867,304533.7736246183,-1.3488610473520042,35499.98361706523,35499.89901474216,0.000238316512994202,19538.817701789263,19639.690456435244,-0.5162684671383363,44859.60072361631,41856.10100920557,6.695333141539866,0.0,12726.593307619241,,0.0,11361.819338200285,,2.29272899400587,2.2378467401534863,2.393752336009545,1.0877605238594161,1.0858603849736037,0.17468356721299771,21.37015480902869,31.595184662079305,-47.84724277584847,6.2887089998474535,7.0003221832908515,-11.315727655082462,0.0,0.06363292140365878,,0.0,0.07574504362983629,,0.0,0.19376362788897933,,0.0,0.20582892289499827,,4.057825254463532,4.0399525037711745,0.4404514628297023,9.139139240515668,9.260268950373487,-1.3253951676414544,4.0,4.0,0.0,2.252225937693216,2.292172738912239,-1.7736586969572508,0.0,4.0399525037711745,,0.1347346305847168,0.6455233097076416,-379.10719531142166,,,,,,,,,
8,-1,1,0,0.0,100.0,4.5,0.0,1.0,700.0,5700.0,0.0,5000.0,full_scale,6400.0,0.7812499999999999,27,92300.00000000001,92300.00000000001,0.0,77529.93421294705,78822.38037163398,-1.66702857651993,388732.2539761966,399760.05816151854,-2.8368636953899977,35499.97358062041,35499.97551053952,-5.436395909800276e-06,18038.762123835706,18018.38793770304,0.11294669774344132,44860.00418731536,41856.02655200028,6.696338285595807,0.0,12726.588401919873,,0.0,11361.816879725955,,2.2927284318121792,2.237847995108268,2.3936736659445277,1.0048960404684093,0.9935360008799242,1.1304691362093395,21.369030554424313,31.59102954978789,-47.83557667405357,5.657038126731197,6.246974492095804,-10.428361134371379,0.0,0.06363289744634479,,0.0,0.07574503487116774,,0.0,0.19375303493959023,,0.0,0.20582537122543737,,5.013963418419625,5.071656758863645,-1.150653397910205,13.208739030744399,13.65253273006725,-3.3598490990690792,4.5,4.5,0.0,2.6343907986765496,2.69192759663676,-2.1840646417803926,0.0,5.071656758863645,,0.15550613403320312,0.6793954372406006,-336.89301484116277,,,,,,,,,
9,-1,1,1,0.0,100.0,5.0,0.0,1.0,700.0,5700.0,0.0,5000.0,full_scale,6400.0,0.7812499999999999,19,92300.00000000001,92300.00000000001,0.0,80202.2303429332,81417.81277645617,-1.5156466700805131,490958.4245006497,511406.56135676446,-4.16494265821234,35499.98534358968,35499.98176390717,1.0083616868616487e-05,16664.558365916753,16559.486634929646,0.6305101442232357,44859.6179395071,41856.08953196627,6.69539453410208,0.0,12726.595137951655,,0.0,11361.816261061149,,2.2926724507338463,2.2377795980834776,2.3942736622843097,0.9295342488099314,0.9110274287238505,1.990977751468002,21.365294160773658,31.583792454819644,-47.82755723909941,5.119081920208227,5.612074624027275,-9.630490613422227,0.0,0.06363287403706122,,0.0,0.07574498398867063,,0.0,0.1937476259828021,,0.0,0.20582658060394995,,6.121505878345054,6.281261359364955,-2.609741527571492,18.476218639446987,19.40585228761262,-5.031514653008344,5.0,5.0,0.0,3.0182473216655517,3.089483346760859,-2.3601785242700877,0.0,6.281261359364955,,0.15247893333435059,0.7068724632263184,-363.58696756902975,,,,,,,,,
10,0,-1,-1,50.0,0.0,4.0,0.5,0.0,3200.0,700.0,2500.0,0.0,full_scale,3900.0,0.6410256410256409,11,92300.00000000001,92300.00000000001,0.0,73987.10112987658,74525.21009383319,-0.7273010507764206,269560.139983531,273881.94432127295,-1.6032801949153264,35499.984096962566,35499.97627278611,2.2039943554365395e-05,19582.62167091632,19539.079261260224,0.22235229984943566,41564.70895133679,39476.3409543303,5.02437777069849,0.0,9430.846639985515,,0.0,1721.10069207186,,2.5065353069974208,2.444803818070909,2.4628214393859813,1.203012914430284,1.2024635102353152,0.045669018875738564,24.037313931550216,30.904728529989427,-28.56980866495809,6.766220165178693,7.9616309060011865,-17.6673343704435,0.0,0.047152629153864034,,0.0,0.011473989106596914,,0.0,0.15169860354928616,,0.0,0.05812427972826312,,3.6433396614681044,3.675024115684259,-0.8696541404373839,8.180312757993045,8.342748188138128,-1.9856872829998544,4.0,4.0,0.0,2.2452786624319065,2.270120676415437,-1.106411172884148,0.0,3.675024115684259,,0.1225433349609375,0.5579867362976074,-355.3382984684348,,,,,,,,,
