run_id,x1_coded,x2_coded,x3_coded,front_fill_pct,rear_fill_pct,speed_factor_mps,lambda_1,lambda_2,front_unit_mass_kg,rear_unit_mass_kg,front_liquid_mass_kg,rear_liquid_mass_kg,scale,total_movable_mass_kg,load_asymmetry,randomized_run_id,P_peak_W__rigid,P_peak_W__compliant,P_peak_W__reduction_pct,P_mean_W__rigid,P_mean_W__compliant,P_mean_W__reduction_pct,E_engine_J__rigid,E_engine_J__compliant,E_engine_J__reduction_pct,M_peak_Nm__rigid,M_peak_Nm__compliant,M_peak_Nm__reduction_pct,M_mean_Nm__rigid,M_mean_Nm__compliant,M_mean_Nm__reduction_pct,F_kch_peak_N__rigid,F_kch_peak_N__compliant,F_kch_peak_N__reduction_pct,F_chv1_peak_N__rigid,F_chv1_peak_N__compliant,F_chv1_peak_N__reduction_pct,F_v1v2_peak_N__rigid,F_v1v2_peak_N__compliant,F_v1v2_peak_N__reduction_pct,a_peak_m_s2__rigid,a_peak_m_s2__compliant,a_peak_m_s2__reduction_pct,a_rms_m_s2__rigid,a_rms_m_s2__compliant,a_rms_m_s2__reduction_pct,j_peak_m_s3__rigid,j_peak_m_s3__compliant,j_peak_m_s3__reduction_pct,j_rms_m_s3__rigid,j_rms_m_s3__compliant,j_rms_m_s3__reduction_pct,u1_peak_m__rigid,u1_peak_m__compliant,u1_peak_m__reduction_pct,u2_peak_m__rigid,u2_peak_m__compliant,u2_peak_m__reduction_pct,du1_peak_m_s__rigid,du1_peak_m_s__compliant,du1_peak_m_s__reduction_pct,du2_peak_m_s__rigid,du2_peak_m_s__compliant,du2_peak_m_s__reduction_pct,t_manoeuvre_s__rigid,t_manoeuvre_s__compliant,t_manoeuvre_s__reduction_pct,distance_m__rigid,distance_m__compliant,distance_m__reduction_pct,v_end_m_s__rigid,v_end_m_s__compliant,v_end_m_s__reduction_pct,v_mean_m_s__rigid,v_mean_m_s__compliant,v_mean_m_s__reduction_pct,settling_time_s__rigid,settling_time_s__compliant,settling_time_s__reduction_pct,wall_time_s__rigid,wall_time_s__compliant,wall_time_s__reduction_pct
1,-1,-1,-1,0.0,0.0,4.0,0.0,0.0,40.0,40.0,0.0,0.0,rig_scale,80.0,0.0,8,92300.00000000001,92300.00000000001,0.0,73927.788879809,73929.3934118582,-0.002170404489989844,225417.394409322,225427.81658943312,-0.004623503052380919,35499.9340208653,35499.9521157464,-5.0971590778488443e-05,19651.374618720354,19651.449481922198,-0.0003809565656168688,35960.81804806086,35873.82368753584,0.2419142979693883,0.0,261.73048798638274,,0.0,134.94283149666083,,2.9689297317671617,2.959005683026703,0.33426351032402596,1.4285135921216745,1.4278213338300003,0.048460042346956014,29.79678186161027,29.861006744860788,-0.21554301920525126,8.191305158659468,8.109655221089225,0.9967878865302179,0.0,0.0013086533833356205,,0.0,0.00089961766193416,,0.0,0.02407834507599362,,0.0,0.018690883655865822,,3.049156451517888,3.049231248707564,-0.0024530453214017442,6.817554699874981,6.817844931827476,-0.0042571268625031565,4.0,4.0,0.0,2.235882233786249,2.2359225699443592,-0.0018040376859093062,0.0,3.049231248707564,,0.11373090744018555,0.6093533039093018,-435.7851419850657
2,-1,-1,0,0.0,0.0,4.5,0.0,0.0,40.0,40.0,0.0,0.0,rig_scale,80.0,0.0,20,92300.00000000001,92300.00000000001,0.0,77309.28438070492,77310.71018809445,-0.0018442899852898164,288901.9842800936,288916.60070550034,-0.005059302532376886,35499.94219778512,35499.97877608552,-0.0001030376336690183,18183.053002043383,18183.073989004413,-0.0001154204468715448,35960.74538135325,35873.765170293416,0.24187543983705628,0.0,261.7294234204461,,0.0,134.94493101429728,,2.968906381239094,2.9589905368334257,0.3339897973317012,1.327575013190635,1.3269583434066847,0.04645084291456912,29.794568333574375,29.859313053747144,-0.21730376976064555,7.399086192511828,7.325288822054005,0.9973849275132017,0.0,0.0013086484349836582,,0.0,0.0008996325551788866,,0.0,0.024078243381848836,,0.0,0.018690988359533613,,3.7369636337262304,3.737083775360175,-0.0032149532540319092,9.7448092283704,9.745279190341403,-0.004822690316347225,4.5,4.5,0.0,2.6076810568430435,2.6077229801536403,-0.0016076855137943608,0.0,3.737083775360175,,0.11772942543029785,0.6325163841247559,-437.2627801528171
3,-1,-1,1,0.0,0.0,5.0,0.0,0.0,40.0,40.0,0.0,0.0,rig_scale,80.0,0.0,23,92300.00000000001,92300.00000000001,0.0,79911.19001143787,79912.3977879453,-0.0015113984753106682,361342.6904744859,361360.5676539505,-0.004947430773010318,35499.97003319494,35499.993961283195,-6.740312239716883e-05,16839.967103209627,16839.97426670107,-4.253863085443639e-05,35960.73443006186,35873.83934998538,0.24163878033547206,0.0,261.73074639300035,,0.0,134.94505305386724,,2.9688823455491047,2.958964246489586,0.3340684441196438,1.2357443574660187,1.235193199107245,0.04460132514009849,29.79002805849177,29.856962723934828,-0.22468815843890058,6.725863627614683,6.658772466916799,0.9975099765987624,0.0,0.001308654560413489,,0.0,0.0008996336497484202,,0.0,0.024076591337357407,,0.0,0.018687541943403326,,4.5218033972809835,4.521958765557919,-0.003435980366349939,13.476973661510604,13.477605587736488,-0.004688932706669587,5.0,5.0,0.0,2.9804422133843236,2.9804795555079786,-0.001252905474474006,0.0,4.521958765557919,,0.1232917308807373,0.6521556377410889,-428.9532664375787
4,-1,0,-1,0.0,50.0,4.0,0.0,0.5,40.0,65.0,0.0,25.0,rig_scale,105.0,0.23809523809523583,22,92300.00000000001,92300.00000000001,0.0,73928.14173451348,73931.19162575195,-0.004125480726158679,225693.69183473542,225714.24197125796,-0.009105321622184876,35499.9999916201,35499.97811061095,6.163664549752066e-05,19650.99576041793,19651.024521095205,-0.00014635735321986523,36008.93227102677,35904.82010843142,0.2891287134307028,0.0,398.37120770724624,,0.0,276.208397910224,,2.9658995263434917,2.9544325128894116,0.38662852036047535,1.426804427002459,1.4254310005313935,0.09625891573316887,29.749523710207882,29.86766186796649,-0.3971094089081889,8.176848162208323,8.00893528961583,2.053515844510257,0.0,0.0019918525044918464,,0.0,0.0018413881476436625,,0.0,0.041707742950951664,,0.0,0.03908765745054874,,3.0528792762738948,3.053031298532952,-0.004979635462124807,6.826034982736174,6.826666822099844,-0.009256315932565547,3.9999999999999996,3.9999999999999996,0.0,2.2359334920268066,2.236029110988688,-0.004276467176784634,0.0,3.053031298532952,,0.1091310977935791,0.6560897827148438,-501.1941563676324
5,-1,0,0,0.0,50.0,4.5,0.0,0.5,40.0,65.0,0.0,25.0,rig_scale,105.0,0.23809523809523583,18,92300.00000000001,92300.00000000001,0.0,77310.0979952194,77312.68262002917,-0.003343191739228917,289267.9040728229,289293.7465694085,-0.008933758713555354,35499.946499736034,35499.99606167247,-0.00013961129895717923,18182.518317290473,18182.51037526599,4.367945267641844e-05,36008.86673983241,35904.86392902181,0.28882555944353516,0.0,398.35082412415926,,0.0,276.20212508367086,,2.965877180981238,2.954405903613406,0.3867751989661575,1.325954572599329,1.3247394593196298,0.09164064175419682,29.747418059253505,29.865143994616687,-0.3957517762673915,7.385896162508571,7.234193470686925,2.0539510505400975,0.0,0.001991763287338475,,0.0,0.0018413404065431296,,0.0,0.041706112685810204,,0.0,0.03908518787971056,,3.7416574493374752,3.74186662221008,-0.005590380077193252,9.75741853404124,9.758282494823286,-0.008854399132644556,4.5,4.5,0.0,2.607779764884375,2.6078648785595475,-0.003263836782493589,0.0,3.74186662221008,,0.11746811866760254,0.6767587661743164,-476.12122663624905
6,-1,0,1,0.0,50.0,5.0,0.0,0.5,40.0,65.0,0.0,25.0,rig_scale,105.0,0.23809523809523583,6,92300.00000000001,92300.00000000001,0.0,79912.24570502508,79914.42946743785,-0.002732700593631703,361812.51859592146,361843.95718818135,-0.00868919416660641,35499.97675141579,35499.80511655221,0.0004834788055677717,16839.327369704384,16839.301759305003,0.00015208683113806715,36008.85220877986,35904.678158924966,0.28930122307396616,0.0,398.3398808094686,,0.0,276.20840253629007,,2.9658526802734286,2.954406596739773,0.38592893065074957,1.2342099300168612,1.2331250338842374,0.08790207453677883,29.74250259722004,29.863457181218678,-0.4066725172277344,6.713769202306022,6.57586054327407,2.054116769229774,0.0,0.001991710604555442,,0.0,0.0018413882014988805,,0.0,0.04170763976634058,,0.0,0.03908730187587124,,4.527622961960757,4.527892642161943,-0.005956330804291671,13.494937354874704,13.496082891520343,-0.008488639965604696,5.0,5.0,0.0,2.9805788892218565,2.9806543622033175,-0.0025321584922262273,0.0,4.527892642161943,,0.12361693382263184,0.6956331729888916,-462.73291326494206
7,-1,1,-1,0.0,100.0,4.0,0.0,1.0,40.0,90.0,0.0,50.0,rig_scale,130.0,0.3846153846153817,16,92300.00000000001,92300.00000000001,0.0,73928.4905126516,73934.21194933874,-0.007739149883182587,225970.09379963425,226009.4664250535,-0.01742382133724749,35499.99996411836,35499.975016355675,7.027538791826947e-05,19650.616980778446,19650.431657963243,0.0009430890408397062,36056.94366415248,35725.89025081026,0.9181405291190818,0.0,705.2474638852071,,0.0,542.5049709794395,,2.9628739053318895,2.907052899365681,1.8840155791225246,1.4250986298648025,1.421910251291228,0.2237303795511287,29.702437496797984,29.87475904656401,-0.5801596242214184,8.162449103119354,7.763353371325872,4.889411581641149,0.0,0.003526229909605945,,0.0,0.00361669252360346,,0.0,0.06689971416709929,,0.0,0.07091663792959216,,3.0566036481018553,3.056899647215012,-0.009683922000826024,6.834518537995244,6.8358690763380725,-0.019760548388601647,4.0,4.0,0.0,2.235984564289386,2.236209854259458,-0.010075649611806356,0.0,3.056899647215012,,0.11129450798034668,0.6526849269866943,-486.4484589859105
8,-1,1,0,0.0,100.0,4.5,0.0,1.0,40.0,90.0,0.0,50.0,rig_scale,130.0,0.3846153846153817,27,92300.00000000001,92300.00000000001,0.0,77310.9076711396,77315.34390286347,-0.005738170534409868,289633.97652868036,289674.10763027426,-0.013855798989772591,35499.95076067675,35499.98088801699,-8.486586485600457e-05,18181.984169512525,18181.918039946147,0.0003637092946573223,36057.020440660475,35725.57464741392,0.9192267946599106,0.0,705.2323016191233,,0.0,542.4961785653362,,2.962864123097006,2.907016487541,1.8849205780530334,1.3243373742177975,1.3215457177255774,0.2107964742646476,29.700440838100803,29.871437713631508,-0.5757385099528338,7.372759028822228,7.01238508305578,4.887911626538212,0.0,0.003526172718937268,,0.0,0.0036166542664216213,,0.0,0.06690126832748533,,0.0,0.0709178474561386,,3.746353331676141,3.7466574292705928,-0.008117162678723639,9.770033042832305,9.77144133179215,-0.014414372537655673,4.499999999999999,4.5,-1.973729821555834e-14,2.6078781757630383,2.608042385986973,-0.006296698421753897,0.0,3.7466574292705928,,0.11849117279052734,0.6764285564422607,-470.86831070367896
9,-1,1,1,0.0,100.0,5.0,0.0,1.0,40.0,90.0,0.0,50.0,rig_scale,130.0,0.3846153846153817,19,92300.00000000001,92300.00000000001,0.0,79913.30039076482,79917.00781775701,-0.0046393115714881165,362282.64765748504,362330.0796731063,-0.01309254415798625,35499.982722412744,35499.983784561235,-2.991969035735495e-06,16838.68708735789,16838.609800624487,0.00045898313212157496,36056.88565695254,35725.88918811593,0.9179840765664846,0.0,705.234979704234,,0.0,542.5059794894396,,2.962828681406677,2.907021658093413,1.883572400371396,1.2326784475283934,1.230193101353871,0.20162161344718443,29.695105043467777,29.870383759155345,-0.5902613088284917,6.701722642214588,6.374146920037963,4.887933142938574,0.0,0.00352618536332255,,0.0,0.0036167080616631457,,0.0,0.06690090130626879,,0.0,0.0709168368231823,,4.533446195889467,4.533829400862516,-0.008452840432889696,13.512913706934603,13.51469938041587,-0.01321457029915574,5.000000000000001,5.0,1.77635683940025e-14,2.980715594088603,2.9808575156926422,-0.004761326586155728,0.0,4.533829400862516,,0.12518906593322754,0.6966171264648438,-456.45205215957156
10,0,-1,-1,50.0,0.0,4.0,0.5,0.0,65.0,40.0,25.0,0.0,rig_scale,105.0,0.23809523809523583,11,92300.00000000001,92300.00000000001,0.0,73928.14173451348,73930.67587891151,-0.003427848094882736,225693.69183473542,225710.74431207916,-0.0075555843874547555,35499.9999916201,35499.968226189594,8.948008594670814e-05,19650.99576041793,19651.019932533745,-0.00012300707867952436,36008.93227102677,35898.06582247582,0.3078859648392164,0.0,341.4718457885519,,0.0,139.3008101481314,,2.9658995263434917,2.9531941906544716,0.4283805157986546,1.426804427002459,1.4257915290174605,0.07099066738434136,29.749523710207882,29.85760015099777,-0.3632879700618631,8.176848162208323,8.055821806411783,1.4801101034980428,0.0,0.0017073597743191581,,0.0,0.000928670818432146,,0.0,0.03497492590109701,,0.0,0.019631542516808105,,3.0528792762738948,3.0530052867603015,-0.004127594804878788,6.826034982736174,6.8265417088009395,-0.0074234319930513906,3.9999999999999996,4.0,-1.1102230246251567e-14,2.2359334920268066,2.2360071817063454,-0.003295700869528303,0.0,3.0530052867603015,,0.1097872257232666,0.6686842441558838,-509.07290420234494
