parameter,identified,stage,source_value,reproduced,rel_error_pct
m_tractor_kg,5039.9,A,,,
r_k_m,0.5376,A,,,
I_k_kgm2,3595.831866941993,B,,,
D_kch_Nms_per_rad,6325.447551428735,B,,,
E_engine_J,,A-target,53370000.0,52300280.93529978,-2.0043452589473927
P_mean_W,,A-target,88950.0,87167.1348921663,-2.0043452589473847
M_mean_Nm,,A-target,3835.0,3942.5059110264287,2.8032832079903196
distance_m,,A-target,7582.0,7501.102447159111,-1.0669685154430117
v_mean_m_s,,A-target,12.536,12.501837492708143,-0.2725152145170451
v_end_m_s,,A-target,13.058,13.097563853226427,0.3029855508226951
F_kch_peak_N rigid (m_v=1250 kg),,B-target,39460.0,43794.06812725614,10.983446850623775
F_kch_peak_N rigid (m_v=2500 kg),,B-target,45470.0,45465.93976973471,-0.008929470563649584
F_kch_peak_N rigid (m_v=3750 kg),,B-target,50270.0,50740.35597380304,0.9356593869167258
F_kch_peak_N rigid (m_v=5000 kg),,B-target,53750.0,52915.41569340569,-1.552714989012673
F_kch_peak_N compliant (m_v=1250 kg),,B-target,38530.0,39524.16364610375,2.5802326657247567
F_kch_peak_N compliant (m_v=2500 kg),,B-target,41630.0,42906.001454605015,3.065100779738206
F_kch_peak_N compliant (m_v=3750 kg),,B-target,46220.0,44012.804412462865,-4.775412348630755
F_kch_peak_N compliant (m_v=5000 kg),,B-target,48770.0,47019.40976194698,-3.5894817265798995
