response,source,df,SS,MS,F,p_value,contribution_pct
P_mean_W,Linear,3,177886149.95076022,59295383.31692007,100748.78182339537,1.1102230246251565e-16,99.3671714062806
P_mean_W,Two-factor interactions,3,73223.43273219466,24407.810910731554,41.47130988409151,4.903633266106766e-08,0.040902596370039374
P_mean_W,Quadratic (curvature),3,1049654.9026679993,349884.96755599976,594.4895249463103,1.1102230246251565e-16,0.5863370400659352
P_mean_W,Residual,17,10005.29731619607,588.5469009527101,,,0.005588957283433551
P_mean_W,Total,26,179019033.5834766,,,,100.0
E_engine_J,Linear,3,304733794573.9852,101577931524.66174,12529.133679587285,1.1102230246251565e-16,97.20926740600397
E_engine_J,Two-factor interactions,3,8110712341.855774,2703570780.6185913,333.4720368308788,2.6645352591003757e-15,2.5872955967842715
E_engine_J,Quadratic (curvature),3,499914108.1308594,166638036.04361978,20.553974651349343,6.8190847921645314e-06,0.1594712666682204
E_engine_J,Residual,17,137824759.48298222,8107338.793116601,,,0.04396573054353703
E_engine_J,Total,26,313482245783.45483,,,,100.0
M_peak_Nm,Linear,3,0.042899904208298784,0.014299968069432928,1.7615947319970624,0.1926025428132625,19.8791211774555
M_peak_Nm,Two-factor interactions,3,0.011505835154621419,0.003835278384873806,0.4724630268914873,0.7054845559404708,5.331617762500755
M_peak_Nm,Quadratic (curvature),3,0.023398436891587215,0.007799478963862405,0.9608078135804373,0.4338057680340224,10.842456898561752
M_peak_Nm,Residual,17,0.13799965041037893,0.008117626494728173,,,63.94680416148199
M_peak_Nm,Total,26,0.21580382666488634,,,,100.0
M_mean_Nm,Linear,3,41123515.916768566,13707838.638922855,126207.31858921752,1.1102230246251565e-16,99.7772124654844
M_mean_Nm,Two-factor interactions,3,56198.26654332876,18732.75551444292,172.47145268781745,6.327161017338767e-13,0.13635279610903103
M_mean_Nm,Quadratic (curvature),3,33777.937862448394,11259.312620816132,103.66387382151154,3.9744318947043666e-11,0.0819547747222941
M_mean_Nm,Residual,17,1846.4321995475598,108.61365879691527,,,0.004479963684288142
M_mean_Nm,Total,26,41215338.55337389,,,,100.0
F_kch_peak_N,Linear,3,176673101.52607587,58891033.84202529,243.60295370924317,3.652633751016765e-14,94.2387123947629
F_kch_peak_N,Two-factor interactions,3,2965694.4832849503,988564.8277616501,4.089201636734679,0.02345403506868038,1.5819229245815634
F_kch_peak_N,Quadratic (curvature),3,3725471.5525286794,1241823.8508428931,5.136808412353589,0.010365059580530245,1.9871935180908298
F_kch_peak_N,Residual,17,4109751.38055743,241750.0812092606,,,2.1921711625647133
F_kch_peak_N,Total,26,187474018.94244692,,,,100.0
F_chv1_peak_N,Linear,3,361463046.7528066,120487682.25093554,1135.546842145282,1.1102230246251565e-16,96.44879542633606
F_chv1_peak_N,Two-factor interactions,3,9791522.828020453,3263840.9426734843,30.76035829121925,4.307521215274335e-07,2.612661489565424
F_chv1_peak_N,Quadratic (curvature),3,1713604.113240242,571201.3710800806,5.383337956557004,0.008640890443950666,0.4572391397803455
F_chv1_peak_N,Residual,17,1803792.2543082952,106105.42672401736,,,0.4813039443181739
F_chv1_peak_N,Total,26,374771965.9483756,,,,100.0
F_v1v2_peak_N,Linear,3,291592001.94130987,97197333.98043662,2013.1045461410206,1.1102230246251565e-16,98.51853392244084
F_v1v2_peak_N,Two-factor interactions,3,2639992.6866446733,879997.5622148911,18.226087285937048,1.4852194833103738e-05,0.8919593381252898
F_v1v2_peak_N,Quadratic (curvature),3,924003.9320908785,308001.3106969595,6.379175368186954,0.00429380545072755,0.31218796167971125
F_v1v2_peak_N,Residual,17,820799.2380896809,48282.308122922404,,,0.27731877775415703
F_v1v2_peak_N,Total,26,295976797.7981351,,,,100.0
a_peak_m_s2,Linear,3,0.8596748946155036,0.28655829820516787,224.32333496245863,7.238654120556021e-14,97.14302974067758
a_peak_m_s2,Two-factor interactions,3,0.00011657002415821349,3.8856674719404495e-05,0.030417750639932708,0.9925917774293206,0.01317238108801301
a_peak_m_s2,Quadratic (curvature),3,0.0034500320891622804,0.0011500106963874268,0.9002504421331556,0.46142985171391837,0.3898526895957342
a_peak_m_s2,Residual,17,0.021716381268596586,0.0012774341922703874,,,2.453945188638671
a_peak_m_s2,Total,26,0.8849578779974206,,,,100.0
a_rms_m_s2,Linear,3,0.5542819343194109,0.18476064477313695,79065.59940118596,1.1102230246251565e-16,99.3870992704302
a_rms_m_s2,Two-factor interactions,3,0.0024383675237420466,0.0008127891745806822,347.8211680519116,1.887379141862766e-15,0.4372184264628974
a_rms_m_s2,Quadratic (curvature),3,0.0009400547161223516,0.00031335157204078384,134.09419466537096,4.955480470414386e-12,0.16855918550837812
a_rms_m_s2,Residual,17,3.972563270159962e-05,2.336801923623507e-06,,,0.007123117598524019
a_rms_m_s2,Total,26,0.5577000821919769,,,,100.0
j_peak_m_s3,Linear,3,15.36870807926215,5.122902693087384,2705651.3388182437,1.1102230246251565e-16,99.91002419599411
j_peak_m_s3,Two-factor interactions,3,0.011234434001581306,0.003744811333860435,1977.8150017866033,1.1102230246251565e-16,0.07303363217893687
j_peak_m_s3,Quadratic (curvature),3,0.002573949882787474,0.0008579832942624913,453.14224920520064,2.220446049250313e-16,0.01673292210004155
j_peak_m_s3,Residual,17,3.218794104510296e-05,1.8934082967707625e-06,,,0.00020924972691587905
j_peak_m_s3,Total,26,15.382548651087564,,,,100.0
j_rms_m_s3,Linear,3,10.595153402599479,3.531717800866493,328.74952892104943,2.9976021664879227e-15,94.23625782919481
j_rms_m_s3,Two-factor interactions,3,0.009345463774163676,0.003115154591387892,0.28997379240882537,0.8320224087676159,0.08312116873545375
j_rms_m_s3,Quadratic (curvature),3,0.4560535084268782,0.15201783614229272,14.150562088260465,7.075977156623114e-05,4.056267462203991
j_rms_m_s3,Residual,17,0.18262901489708003,0.010742883229240002,,,1.6243535398657485
j_rms_m_s3,Total,26,11.2431813896976,,,,100.0
u1_peak_m,Linear,3,0.009036063685716383,0.003012021228572128,1136.075989168144,1.1102230246251565e-16,96.44872756142725
u1_peak_m,Two-factor interactions,3,0.0002447890305338433,8.159634351128109e-05,30.776558208730595,4.291426897173878e-07,2.6128180740143563
u1_peak_m,Quadratic (curvature),3,4.285042571064608e-05,1.4283475236882026e-05,5.3874498308871575,0.0086149769833761,0.4573749343743836
u1_peak_m,Residual,17,4.50712464429593e-05,2.6512497907623116e-06,,,0.4810794301840172
u1_peak_m,Total,26,0.009368774388403832,,,,100.0
u2_peak_m,Linear,3,0.012959460235589294,0.0043198200785297645,2013.0499578275167,1.1102230246251565e-16,98.51852798807839
u2_peak_m,Two-factor interactions,3,0.00011733249078721246,3.911083026240415e-05,18.2257718560186,1.4853835133776805e-05,0.8919680347323747
u2_peak_m,Quadratic (curvature),3,4.1064909522225274e-05,1.3688303174075092e-05,6.378793011370152,0.004294914245257742,0.31217769602649603
u2_peak_m,Residual,17,3.6480436588001594e-05,2.145908034588329e-06,,,0.2773262811627376
u2_peak_m,Total,26,0.013154338072486733,,,,100.0
t_manoeuvre_s,Linear,3,38.23703072276415,12.74567690758805,12992.71217747659,1.1102230246251565e-16,97.38823121846471
t_manoeuvre_s,Two-factor interactions,3,0.9513884045558143,0.31712946818527143,323.27603571014856,3.4416913763379853e-15,2.423149291931995
t_manoeuvre_s,Quadratic (curvature),3,0.05737990880012234,0.019126636266707447,19.497346570009817,9.624197709667826e-06,0.146144397718463
t_manoeuvre_s,Residual,17,0.01667677267604024,0.000980986628002367,,,0.042475091884817094
t_manoeuvre_s,Total,26,39.26247580879613,,,,100.0
distance_m,Linear,3,622.1118226788518,207.37060755961727,8423.755381123385,1.1102230246251565e-16,96.52791302581637
distance_m,Two-factor interactions,3,18.92543052364806,6.30847684121602,256.2613205567626,2.398081733190338e-14,2.9365015178402785
distance_m,Quadratic (curvature),3,3.033294483495979,1.0110981611653262,41.07256894404257,5.268096670008049e-08,0.4706510556635687
distance_m,Residual,17,0.418495097378215,0.024617358669306765,,,0.06493440067977692
distance_m,Total,26,644.4890427833741,,,,100.0
