response,source,df,SS,MS,F,p_value,contribution_pct
P_mean_W,Linear,3,161092468.2454959,53697489.4151653,481969134.2700143,1.1102230246251565e-16,99.43724305687493
P_mean_W,Two-factor interactions,3,0.8395071029663086,0.27983570098876953,2.5117034709132806,0.09325349731155974,5.182009609438571e-07
P_mean_W,Quadratic (curvature),3,911686.9131663144,303895.6377221048,2727656.7120099105,1.1102230246251565e-16,0.5627552558083394
P_mean_W,Residual,17,1.894016141594658,0.11141271421145046,,,1.1691157598900237e-06
P_mean_W,Total,26,162004157.89218545,,,,100.0
E_engine_J,Linear,3,83632866951.5655,27877622317.188503,397656470.3724334,1.1102230246251565e-16,99.8549929391694
E_engine_J,Two-factor interactions,3,222180.1272277832,74060.04240926106,1056.4191854317942,1.1102230246251565e-16,0.00026527603135263273
E_engine_J,Quadratic (curvature),3,121226300.94720459,40408766.98240153,576405.242437637,1.1102230246251565e-16,0.1447403618500268
E_engine_J,Residual,17,1191.7813859493983,70.10478740878814,,,1.4229492090463732e-06
E_engine_J,Total,26,83754316624.42133,,,,100.0
M_peak_Nm,Linear,3,0.026873208356760422,0.00895773611892014,3.3206028702752306,0.04485164970752642,31.304803079073526
M_peak_Nm,Two-factor interactions,3,0.005872196305371932,0.0019573987684573108,0.7256011879032774,0.5505982077458433,6.840565761292375
M_peak_Nm,Quadratic (curvature),3,0.007238719685690648,0.0024129065618968826,0.8944564060351685,0.464159291111617,8.432439152660827
M_peak_Nm,Residual,17,0.045859598383416564,0.0026976234343186216,,,53.422192006973276
M_peak_Nm,Total,26,0.08584372273123957,,,,100.0
M_mean_Nm,Linear,3,35579367.6221127,11859789.2073709,551284120.9846758,1.1102230246251565e-16,99.9339129877053
M_mean_Nm,Two-factor interactions,3,0.20403693616390228,0.0680123120546341,3.161448067211153,0.05158581654011796,5.730908329075755e-07
M_mean_Nm,Quadratic (curvature),3,23528.320837259293,7842.7736124197645,364559.30888868665,1.1102230246251565e-16,0.06608541198006444
M_mean_Nm,Residual,17,0.3657214290249976,0.021513025236764564,,,1.0272238071822463e-06
M_mean_Nm,Total,26,35602896.51270832,,,,100.0
F_kch_peak_N,Linear,3,1348987.5150935585,449662.50503118616,32.610515972689676,2.8381243877273477e-07,50.088470190377414
F_kch_peak_N,Two-factor interactions,3,457571.563956582,152523.854652194,11.061366119478006,0.0002891240273693585,16.98982339329811
F_kch_peak_N,Quadratic (curvature),3,652239.6086578788,217413.20288595962,15.76728467697009,3.680058699340183e-05,24.217929246719383
F_kch_peak_N,Residual,17,234410.96706142288,13788.880415377816,,,8.703777169605095
F_kch_peak_N,Total,26,2693209.654769442,,,,100.0
F_chv1_peak_N,Linear,3,1784090.4135262899,594696.8045087632,7913.010405164258,1.1102230246251565e-16,94.6420414302416
F_chv1_peak_N,Two-factor interactions,3,41730.33604509407,13910.112015031356,185.08735926850187,3.540501225529624e-13,2.2137018185482784
F_chv1_peak_N,Quadratic (curvature),3,57994.537910556886,19331.512636852294,257.22428552367046,2.3203661214665772e-14,3.076481672702941
F_chv1_peak_N,Residual,17,1277.6232001478222,75.15430589104837,,,0.06777507850716685
F_chv1_peak_N,Total,26,1885092.9106820887,,,,100.0
F_v1v2_peak_N,Linear,3,1005107.28435102,335035.76145034,10736.008756510697,1.1102230246251565e-16,96.59153271503438
F_v1v2_peak_N,Two-factor interactions,3,8749.863828719244,2916.621276239748,93.4612813437727,9.116341015413809e-11,0.8408682052379488
F_v1v2_peak_N,Quadratic (curvature),3,26187.278138149646,8729.092712716549,279.7182467759024,1.1546319456101628e-14,2.5166162581659326
F_v1v2_peak_N,Residual,17,530.5144652757256,31.20673325151327,,,0.050982821561746064
F_v1v2_peak_N,Total,26,1040574.9407831646,,,,100.0
a_peak_m_s2,Linear,3,0.05184813483687847,0.017282711612292823,92.22764507151825,1.0136824712958514e-10,68.23732208009352
a_peak_m_s2,Two-factor interactions,3,0.007032579887472044,0.0023441932958240146,12.5095779016825,0.000145211325884409,9.255577280556025
a_peak_m_s2,Quadratic (curvature),3,0.013915700688748055,0.004638566896249352,24.753297453826132,1.960763320929537e-06,18.314451481345692
a_peak_m_s2,Residual,17,0.0031856619257831535,0.00018739187798724432,,,4.192649158004764
a_peak_m_s2,Total,26,0.07598207733888172,,,,100.0
a_rms_m_s2,Linear,3,0.16594770425728603,0.05531590141909534,8853279.412208797,1.1102230246251565e-16,99.92312504257197
a_rms_m_s2,Two-factor interactions,3,2.8112891699572096e-06,9.370963899857365e-07,149.98175866030365,1.9881873924987303e-12,0.0016927790626433388
a_rms_m_s2,Quadratic (curvature),3,0.00012475286720142753,4.158428906714251e-05,6655.542453880762,1.1102230246251565e-16,0.07511822115635146
a_rms_m_s2,Residual,17,1.0621717448879304e-07,6.248069087576061e-09,,,6.395720902325384e-05
a_rms_m_s2,Total,26,0.1660753746308319,,,,100.0
j_peak_m_s3,Linear,3,0.000953429207437215,0.000317809735812405,2458.8230876746056,1.1102230246251565e-16,94.82882589794428
j_peak_m_s3,Two-factor interactions,3,1.2673456535883254e-06,4.2244855119610847e-07,3.2683902787950236,0.04694761845798956,0.1260512048500023
j_peak_m_s3,Quadratic (curvature),3,4.852744249223711e-05,1.6175814164079037e-05,125.14866867404183,8.683720409408124e-12,4.826577956152967
j_peak_m_s3,Residual,17,2.197297372020558e-06,1.2925278658944458e-07,,,0.21854494105276223
j_peak_m_s3,Total,26,0.0010054212929550609,,,,100.0
j_rms_m_s3,Linear,3,9.762952905351158,3.2543176351170526,96503.4429800566,1.1102230246251565e-16,99.20304155769527
j_rms_m_s3,Two-factor interactions,3,0.02494021005116487,0.00831340335038829,246.52542749274426,3.3084646133829665e-14,0.25342175857544674
j_rms_m_s3,Quadratic (curvature),3,0.052918256740005276,0.017639418913335092,523.0788288565868,1.1102230246251565e-16,0.537711497067875
j_rms_m_s3,Residual,17,0.0005732790259972695,3.372229564689821e-05,,,0.005825186661403509
j_rms_m_s3,Total,26,9.841384651168326,,,,100.0
u1_peak_m,Linear,3,4.460218573860484e-05,1.4867395246201613e-05,7914.998181739525,1.1102230246251565e-16,94.64221666177056
u1_peak_m,Two-factor interactions,3,1.0432330434046862e-06,3.4774434780156206e-07,185.12966360148087,3.5338398873818733e-13,2.2136558127725743
u1_peak_m,Quadratic (curvature),3,1.4498054003514452e-06,4.83268466783815e-07,257.2790305593839,2.3203661214665772e-14,3.0763693425612493
u1_peak_m,Residual,17,3.193250502173584e-08,1.8783826483374024e-09,,,0.06775818289560653
u1_peak_m,Total,26,4.7127156687382705e-05,,,,100.0
u2_peak_m,Linear,3,4.467142354673607e-05,1.4890474515578689e-05,10734.497343491497,1.1102230246251565e-16,96.5915463940648
u2_peak_m,Two-factor interactions,3,3.8887238528746e-07,1.2962412842915333e-07,93.44563605541158,9.12854236645444e-11,0.8408459382443119
u2_peak_m,Quadratic (curvature),3,1.163879217347211e-06,3.87959739115737e-07,279.67898434415247,1.1546319456101628e-14,2.5166176605467734
u2_peak_m,Residual,17,2.358173453909507e-08,1.3871608552408863e-09,,,0.05099000714410745
u2_peak_m,Total,26,4.6247756883909835e-05,,,,100.0
t_manoeuvre_s,Linear,3,9.817108478968454,3.2723694929894847,412718971.8034475,1.1102230246251565e-16,99.85499626889617
t_manoeuvre_s,Two-factor interactions,3,2.6083830080736448e-05,8.69461002691215e-06,1096.5847586058821,1.1102230246251565e-16,0.00026531241464535003
t_manoeuvre_s,Quadratic (curvature),3,0.014229626468475587,0.004743208822825196,598224.7031086553,1.1102230246251565e-16,0.14473704767156845
t_manoeuvre_s,Residual,17,1.347897363131504e-07,7.928808018420612e-09,,,1.3710176112925465e-06
t_manoeuvre_s,Total,26,9.831364324056747,,,,100.0
distance_m,Linear,3,200.74220693985708,66.91406897995236,234221419.38543034,1.1102230246251565e-16,99.5147059670322
distance_m,Two-factor interactions,3,0.0005385484323312539,0.00017951614411041797,628.366003100765,1.1102230246251565e-16,0.0002669766847213532
distance_m,Quadratic (curvature),3,0.9783972875796678,0.3261324291932226,1141571.5952969587,1.1102230246251565e-16,0.48502464866097283
distance_m,Residual,17,4.856682944044828e-06,2.8568723200263695e-07,,,2.407622106578328e-06
distance_m,Total,26,201.72114763255203,,,,100.0
