response,source,df,SS,MS,F,p_value,contribution_pct
P_mean_W,Linear,3,161180893.0607629,53726964.353587635,9956653722.877804,1.1102230246251565e-16,99.43695769650735
P_mean_W,Two-factor interactions,3,3.001304566860199,1.0004348556200664,185.4000788905749,3.4916514124461173e-13,1.851587924486211e-06
P_mean_W,Quadratic (curvature),3,912652.1551738083,304217.38505793613,56377411.15553998,1.1102230246251565e-16,0.5630403953118206
P_mean_W,Residual,17,0.09173346984161249,0.005396086461271323,,,5.659291859460974e-08
P_mean_W,Total,26,162093548.30897474,,,,100.0
E_engine_J,Linear,3,83620119572.68002,27873373190.89334,1135458218.1316528,1.1102230246251565e-16,99.85512857801682
E_engine_J,Two-factor interactions,3,225408.2426147461,75136.08087158203,3060.766270359974,1.1102230246251565e-16,0.0002691716917395326
E_engine_J,Quadratic (curvature),3,121091584.98596191,40363861.661987305,1644274.5600165282,1.1102230246251565e-16,0.14460175195013228
E_engine_J,Residual,17,417.3181687168393,24.54812757157878,,,4.98341303601498e-07
E_engine_J,Total,26,83741436983.22678,,,,100.0
M_peak_Nm,Linear,3,0.0022121419610631153,0.0007373806536877051,6.335825132405897,0.004421571389159107,16.99612497119498
M_peak_Nm,Two-factor interactions,3,0.0005770066160203594,0.00019233553867345314,1.6526123023268158,0.21474088991478524,4.433203984058662
M_peak_Nm,Quadratic (curvature),3,0.008247911514424545,0.0027493038381415148,23.622952768292087,2.6947751353700866e-06,63.36959260207171
M_peak_Nm,Residual,17,0.001978506485063123,0.00011638273441547783,,,15.20107844267465
M_peak_Nm,Total,26,0.013015566576571143,,,,100.0
M_mean_Nm,Linear,3,35581293.39661681,11860431.132205604,43131332115.53715,1.1102230246251565e-16,99.93381926301866
M_mean_Nm,Two-factor interactions,3,0.41118931770324707,0.13706310590108237,498.4400883500819,1.1102230246251565e-16,1.154868613127689e-06
M_mean_Nm,Quadratic (curvature),3,23563.1408688277,7854.380289609234,28563032.91648269,1.1102230246251565e-16,0.06617956898324483
M_mean_Nm,Residual,17,0.004674729931999093,0.00027498411364700547,,,1.3129472583260293e-08
M_mean_Nm,Total,26,35604856.95334969,,,,100.0
F_kch_peak_N,Linear,3,82764.9970163563,27588.332338785433,3871437.225528289,1.1102230246251565e-16,99.99941191460456
F_kch_peak_N,Two-factor interactions,3,0.2977419656672282,0.09924732188907608,13.927256340724266,7.776151671490261e-05,0.0003597417089634784
F_kch_peak_N,Quadratic (curvature),3,0.06784568994771689,0.0226152299825723,3.173567801897387,0.05103563743037565,8.197341074478027e-05
F_kch_peak_N,Residual,17,0.12114406677363941,0.007126121574919965,,,0.00014637027573278897
F_kch_peak_N,Total,26,82765.48374807868,,,,100.0
a_peak_m_s2,Linear,3,0.00032936394585523484,0.00010978798195174494,1890169.2698293861,1.1102230246251565e-16,99.99966602840159
a_peak_m_s2,Two-factor interactions,3,4.473962324745562e-12,1.4913207749151873e-12,0.02567538495644998,0.9942262281452233,1.358359783844861e-06
a_peak_m_s2,Quadratic (curvature),3,1.0808923141302287e-10,3.602974380434096e-11,0.620307553960906,0.6114170973032702,3.281745673316571e-05
a_peak_m_s2,Residual,17,9.874225144651368e-10,5.808367732147863e-11,,,0.00029979578189422775
a_peak_m_s2,Total,26,0.00032936504584094305,,,,100.0
a_rms_m_s2,Linear,3,0.16670942735507874,0.05556980911835958,51656315583.606926,1.1102230246251565e-16,99.92540055511517
a_rms_m_s2,Two-factor interactions,3,1.8200744619778497e-07,6.066914873259499e-08,56396.53514815289,1.1102230246251565e-16,0.00010909501192508998
a_rms_m_s2,Quadratic (curvature),3,0.00012427512598775503,4.1425041995918344e-05,38507691.07101977,1.1102230246251565e-16,0.0744903389111516
a_rms_m_s2,Residual,17,1.8287923641846187e-11,1.0757602142262463e-12,,,1.0961756177954797e-08
a_rms_m_s2,Total,26,0.16683388450680062,,,,100.0
j_peak_m_s3,Linear,3,0.07990127598002401,0.026633758660008004,1036570.4474204518,1.1102230246251565e-16,99.97922003504203
j_peak_m_s3,Two-factor interactions,3,6.345087932291271e-07,2.1150293107637572e-07,8.23157146894827,0.0013334977358430145,0.0007939509535277489
j_peak_m_s3,Quadratic (curvature),3,1.553559933765991e-05,5.178533112553303e-06,201.54550673770314,1.7541523789077473e-13,0.01943945306886558
j_peak_m_s3,Residual,17,4.367999284051388e-07,2.5694113435596402e-08,,,0.0005465609355753727
j_peak_m_s3,Total,26,0.07991788288808331,,,,100.0
j_rms_m_s3,Linear,3,9.608079078972926,3.2026930263243085,922565140.9901158,1.1102230246251565e-16,99.78034384692008
j_rms_m_s3,Two-factor interactions,3,3.309474172574767e-05,1.1031580575249222e-05,3177.7481029547944,1.1102230246251565e-16,0.0003436904173849817
j_rms_m_s3,Quadratic (curvature),3,0.02111804303758369,0.007039347679194563,2027748.7510527836,1.1102230246251565e-16,0.2193118497822987
j_rms_m_s3,Residual,17,5.901564998335068e-08,3.47150882255004e-09,,,6.128802437289773e-07
j_rms_m_s3,Total,26,9.629230275767885,,,,100.0
t_manoeuvre_s,Linear,3,9.81561826384251,3.27187275461417,1135829123.602664,1.1102230246251565e-16,99.85513242694522
t_manoeuvre_s,Two-factor interactions,3,2.6457959728887204e-05,8.819319909629067e-06,3061.622854861535,1.1102230246251565e-16,0.00026915910964130845
t_manoeuvre_s,Quadratic (curvature),3,0.01421377057358697,0.00473792352452899,1644767.9748465063,1.1102230246251565e-16,0.14459791576655356
