response,note,mean,std,R2,R2_adj,R2_pred_LOO,RMSE,MAE,AIC,BIC,R2_first_order,R2_pred_first_order,RMSE_first_order,curvature_F,n_obs
P_peak_W,constant response - no model fitted,,,,,,,,,,,,,,
P_mean_W,,77054.87861363137,2496.1829159137037,0.9999999883088424,0.999999982119406,0.9999999711882891,0.2648560854218519,0.208282288289478,24.879972375789848,37.83834103583314,0.994372435750759,0.9902456399569282,183.755958047268,2727656.712009957,27.0
E_engine_J,,292668.2458166671,56756.67247267101,0.9999999857705079,0.9999999782372473,0.999999964517129,6.643797959861453,4.849842734751292,198.88160501435024,211.83997367439355,0.9985525821520076,0.9974903425006566,2118.9400978073736,576405.2424376339,27.0
M_peak_Nm,,35499.941912474,0.05746026142917568,0.4657780799302672,0.18295471048158518,-0.4293567892291623,0.041212906277405904,0.031007659283878403,-75.58352508312083,-62.62515642307754,0.3814536884036589,-0.20216655147882845,0.044346413304007994,0.8944564060351685,27.0
M_mean_Nm,,18223.63248019153,1170.1889478053126,0.9999999897277619,0.9999999842895183,0.9999999706856229,0.11638401141066133,0.08699627982989316,-19.523765262202573,-6.565396602159282,0.9993391356079613,0.9988555401414875,29.52004125178268,364559.30888867675,27.0
F_kch_peak_N,,35747.456669062085,321.84621595088174,0.912962228303949,0.866883407994275,0.7729305507634046,93.1766476588506,78.60193001464116,341.48552574260543,354.4438944026487,0.6707829358367553,0.3900234426554846,181.21509377484531,15.767284676970085,27.0
F_chv1_peak_N,,596.7592560560771,269.26487607516253,0.9993222492149283,0.9989634399757726,0.9982566150997851,6.878908182499071,6.035544136029669,200.75951782023128,213.71788648027456,0.9685574324878988,0.9417042277239832,46.85365755543958,257.22428552367097,27.0
F_v1v2_peak_N,,354.7754905144749,200.05527512926218,0.9994901717843825,0.9992202627290556,0.998703882951493,4.432683600157014,3.864348661284607,177.02896048408704,189.98732914413034,0.9743240092027232,0.9554909863974842,31.45707987402739,279.71824677590223,27.0
a_peak_m_s2,,2.9192676466683114,0.054059111997488356,0.9580735084199523,0.935877130524633,0.8905555536810534,0.010862204137867664,0.009067892492671622,-147.59048459916485,-134.63211593912155,0.7749289936064955,0.5887176823818178,0.025167117445949044,24.75329745382612,27.0
a_rms_m_s2,,1.3251868360929053,0.07992192695924036,0.9999993604279098,0.9999990218309209,0.9999981164895557,6.272136339008308e-05,4.8081748604723705e-05,-425.9249752063752,-412.96660654633195,0.9992481782163463,0.9987413224379605,0.002150444263970007,6655.54245388099,27.0
j_peak_m_s3,,29.863659258688713,0.0062185247228776705,0.9978145505894723,0.9966575479603694,0.9943849923282081,0.0002852742262261166,0.00022290730253510455,-344.12853993035617,-331.1701712703129,0.9495487710279428,0.9096259764109482,0.0013706546133313735,125.14866867404159,27.0
j_rms_m_s3,,7.138951010735518,0.6152355599895903,0.999941748133386,0.9999109089098844,0.9998286913045624,0.004607879828990486,0.003521025750853935,-193.89664068111006,-180.93827202106678,0.9945646331627072,0.9916226949775199,0.04451031331425825,523.0788288565888,27.0
u1_peak_m,,0.002983799031884474,0.00134632200810754,0.999322418171044,0.9989636983792437,0.9982570945498216,3.439019295054044e-05,3.0173459904176314e-05,-458.3752318423324,-445.41686318228915,0.9685587247454316,0.9417068356581305,0.00023426306085357973,257.27903055938305,27.0
u2_peak_m,,0.0023651695281121593,0.0013337015708734764,0.999490099928559,0.9992201528319137,0.9987036681599941,2.955330058592508e-05,2.5763929748732255e-05,-466.5603359782465,-453.6019673182032,0.9743239233230911,0.9554912040856612,0.00020971417514094862,279.6789843441532,27.0
t_manoeuvre_s,,3.7791201096770846,0.6149222691357873,0.9999999862898239,0.9999999790314954,0.9999999652809267,7.065559040898751e-05,5.1959989363104383e-05,-419.4927586889482,-406.5343900289049,0.9985526158131082,0.9974904435269163,0.022957094649554203,598224.7031086567,27.0
distance_m,,10.040557442974489,2.7854094273867673,0.999999975923779,0.9999999631775444,0.9999999369756357,0.00042411925926056976,0.0003150253925400372,-322.714096210754,-309.75572755071073,0.9951497294371692,0.9915901839704633,0.19036049079094852,1141571.5952969585,27.0
