response,note,mean,std,R2,R2_adj,R2_pred_LOO,RMSE,MAE,AIC,BIC,R2_first_order,R2_pred_first_order,RMSE_first_order,curvature_F,n_obs
P_peak_W,constant response - no model fitted,,,,,,,,,,,,,,
P_mean_W,,77050.89763050036,2496.8714910168833,0.9999999994340708,0.9999999991344612,0.9999999985213828,0.05828838580763514,0.04259685538137866,-56.864349873380746,-43.905981213337455,0.9943695954809527,0.9902389742736422,183.85302573153217,56377411.15553914,27.0
E_engine_J,,292629.03211084055,56752.30831741451,0.999999995016587,0.9999999923783095,0.9999999869746887,3.9314410171073466,2.8699344393476,170.5490063964992,183.50737505654251,0.9985539774970856,0.9974931071492327,2117.7556455424915,1644274.5600165406,27.0
M_peak_Nm,,35499.97518055984,0.022374063432544063,0.8479892155732535,0.7675129179355642,0.4898103908730127,0.008560258054831108,0.005645562714899252,-160.45106611223287,-147.4926974521896,0.21429328955253624,-0.39156442244351997,0.0194616603146609,23.622952768292087,27.0
M_mean_Nm,,18223.762752090213,1170.2211650490835,0.9999999998687052,0.9999999997991963,0.9999999996570071,0.013158196898876231,0.009636410410570938,-137.23567952366,-124.2773108636167,0.9993382041788728,0.9988526961839895,29.54165016051056,28563032.916487776,27.0
F_kch_peak_N,,36056.83964349405,56.42063307394348,0.9999985362972427,0.9999977613957829,0.9999962273418376,0.06698370912328289,0.057164459494675544,-49.35583438172682,-36.39746572168353,0.9999977165631353,0.9999950296811299,0.08366373538765406,3.1735678015259574,27.0
F_chv1_peak_N,constant response - no model fitted,,,,,,,,,,,,,,
F_v1v2_peak_N,constant response - no model fitted,,,,,,,,,,,,,,
a_peak_m_s2,,2.962854692725504,0.003559197434604859,0.999997002042181,0.9999954148880416,0.9999922792553649,6.0474130204120766e-06,5.150037930729607e-06,-552.2348379811656,-539.2764693211222,0.9999966738676138,0.9999932582859347,6.369812328959504e-06,0.6203075538936579,27.0
a_rms_m_s2,,1.3273735992923135,0.08010423125931725,0.9999999998903825,0.9999999998323497,0.999999999709846,8.230009144913282e-07,6.245610216905185e-07,-659.9339795624492,-646.9756109024058,0.9992550965012709,0.9987084125500005,0.0021454097793478753,38507691.071020335,27.0
j_peak_m_s3,,29.69945504573553,0.05544154332686584,0.9999945343906442,0.99999164083275,0.9999847464003331,0.00012719188309839687,0.00010676671653613383,-387.74726015249576,-374.7888914924525,0.9998001398599555,0.9996659496387295,0.0007691361018622378,201.5455067377887,27.0
j_rms_m_s3,,7.412346063358813,0.6085679999855867,0.9999999938711975,0.9999999906265374,0.9999999839616962,4.675216373814343e-05,3.46321057598489e-05,-441.7924202940631,-428.83405163401983,0.9978068753733746,0.9961971484127802,0.02796697924155438,2027748.7510527577,27.0
u1_peak_m,constant response - no model fitted,,,,,,,,,,,,,,
u2_peak_m,constant response - no model fitted,,,,,,,,,,,,,,
t_manoeuvre_s,,3.778802699485498,0.6148751762426781,0.9999999950182141,0.9999999923807981,0.9999999869789532,4.2587709323327374e-05,3.108845845276762e-05,-446.8303416390584,-433.87197297901514,0.9985540158605487,0.9974931687757362,0.0229442315382939,1644767.9748464043,27.0
distance_m,,10.039159876487345,2.785188365349273,0.9999999848990946,0.9999999769044976,0.9999999605349246,0.0003358619906750125,0.00024458224841365734,-335.31307132548403,-322.35470266544075,0.9951520799136339,0.9915954712043308,0.19029925599705386,1819193.0118765256,27.0
