sample,configuration,F_kch_peak_N,F_chv1_peak_N,a_peak_m_s2,j_peak_m_s3,P_peak_W,P_mean_W,u1_peak_m
0,rigid,46347.07721491346,0.0,2.3277030029532284,21.719286963356467,92300.00000000001,77653.07970502388,0.0
0,compliant,41749.202463692025,11263.523091032996,2.3431928232508312,32.31180896524256,92300.00000000001,78836.05872732283,0.05547188204352699
1,rigid,44455.184738612064,0.0,2.2803206074722198,21.28381346160853,92300.00000000001,77504.4059618605,0.0
1,compliant,41609.98153188069,11372.746744116508,2.391985430174543,31.401158340706615,92300.00000000001,78873.6838659765,0.05691062677036026
2,rigid,47013.308463054316,0.0,2.3254210174832224,21.990435804264735,92300.00000000001,77758.69180353606,0.0
2,compliant,41640.209341267684,11011.678163729594,2.314103673294028,32.925343630053504,92300.00000000001,78967.21888618071,0.05406161131828396
3,rigid,46275.62681181873,0.0,2.3267598064514914,21.697195477723227,92300.00000000001,77644.90721849084,0.0
3,compliant,41712.18144344588,11341.741638011326,2.3411930361439772,32.26760030655308,92300.00000000001,78719.04028310321,0.05794931295422365
4,rigid,43818.800704824185,0.0,2.285678981175579,20.97485870032449,92300.00000000001,77410.99201434811,0.0
4,compliant,41479.213015563015,11883.279046872745,2.3900178552021316,30.698213148419455,92300.00000000001,78419.61258339057,0.060977086466087384
5,rigid,45972.9319035619,0.0,2.3214009233554975,21.611667565641056,92300.00000000001,77614.3758184495,0.0
5,compliant,41525.99449831218,11397.867864406668,2.347748685002557,32.100055978260684,92300.00000000001,78579.99058575415,0.05494712817923239
6,rigid,44568.37310706542,0.0,2.2838389489585893,21.306269575714424,92300.00000000001,77511.39101761645,0.0
6,compliant,41544.7707296765,11341.047771439853,2.3901253761640078,31.44907345897289,92300.00000000001,78857.51918620219,0.05484278390979987
7,rigid,45712.830343955065,0.0,2.315683206076585,21.54715493278522,92300.00000000001,77591.64327138996,0.0
7,compliant,41649.39624449277,11231.619218998685,2.3698506249201046,31.96804818598423,92300.00000000001,78865.70745679423,0.05694101691853037
8,rigid,46695.91346277006,0.0,2.329895282476059,21.839638469199656,92300.00000000001,77699.60164012908,0.0
8,compliant,41488.090325861645,11337.873282876653,2.319639921667033,32.5795339615087,92300.00000000001,78625.77325402197,0.05474252647462613
9,rigid,45877.59494921334,0.0,2.3194334101002028,21.5860403496784,92300.00000000001,77605.65593043364,0.0
9,compliant,41723.699492022264,11197.148997202423,2.368478696270813,32.05753444896811,92300.00000000001,78910.90013551101,0.05868299458875645
10,rigid,43869.131915075086,0.0,2.301332587416539,20.876596736958106,92300.00000000001,77385.23359853493,0.0
10,compliant,41326.43749046761,11726.733542916654,2.40168235174076,30.515976357569002,92300.00000000001,78617.92896267462,0.05732371497029524
11,rigid,43830.979202255585,0.0,2.2601796131560263,21.167929819143012,92300.00000000001,77467.96948536838,0.0
11,compliant,41489.607342715724,11647.777187965905,2.3847093699427546,31.123737012233477,92300.00000000001,78578.47314746513,0.05687085780671095
12,rigid,46421.62568989204,0.0,2.3285804868991704,21.742844038478324,92300.00000000001,77661.91776646326,0.0
12,compliant,41888.894244704126,11145.047190963325,2.3445990484297567,32.38127036518219,92300.00000000001,78949.36665710632,0.05967102151927702
13,rigid,43751.63423224328,0.0,2.266450228562803,21.089597340450467,92300.00000000001,77443.72597144285,0.0
13,compliant,41567.451482875505,11756.348481801506,2.384904485721961,30.973913490382557,92300.00000000001,78466.33636821124,0.06165944086153788
14,rigid,45411.23398889238,0.0,2.308124619165426,21.480157731396815,92300.00000000001,77568.16225363371,0.0
14,compliant,41775.22326639969,11410.182316595658,2.3692178978981815,31.818953577832843,92300.00000000001,78766.83712779605,0.05879690912119375
15,rigid,43909.73912274148,0.0,2.3149142212074594,20.790598970203973,92300.00000000001,77363.25628516472,0.0
15,compliant,41351.99453387846,11990.868613227854,2.392980260064178,30.30885595326305,92300.00000000001,78319.62757604611,0.06318698922361493
16,rigid,46985.73235086561,0.0,2.326187995407281,21.97448768839331,92300.00000000001,77752.56661254678,0.0
16,compliant,41602.54196931076,11141.62332496358,2.305692729405905,32.89749741549383,92300.00000000001,78728.88656186624,0.05754884951835016
17,rigid,44672.575985297684,0.0,2.2870167327243394,21.327022506888056,92300.00000000001,77517.96400455432,0.0
17,compliant,41495.89425313577,11270.316193556422,2.3891566150530252,31.502880613527935,92300.00000000001,78855.89430193277,0.05548052535072456
18,rigid,43883.785193771466,0.0,2.306261948414601,20.844421681748315,92300.00000000001,77377.18804308123,0.0
18,compliant,41269.76829483474,11529.503107077975,2.408567704903305,30.457446236143625,92300.00000000001,78866.3841970274,0.06008921218649102
19,rigid,46881.00441856942,0.0,2.328410833418218,21.91745950965128,92300.00000000001,77731.1538460712,0.0
19,compliant,41749.46936098701,11072.222490600681,2.320910157897231,32.79067253092171,92300.00000000001,78864.7013632181,0.060420346580616756
20,rigid,46971.8710805215,0.0,2.326486764668573,21.966913191885936,92300.00000000001,77749.71441030188,0.0
20,compliant,41715.124315536494,10990.215503576412,2.320222223484109,32.88282237200525,92300.00000000001,78992.6489598984,0.05773721888938261
21,rigid,47060.43633574881,0.0,2.3239301561704906,22.018812465410065,92300.00000000001,77769.66590548136,0.0
21,compliant,41483.15165199599,11314.351095416885,2.29185305739702,32.96339642126998,92300.00000000001,78648.27131975286,0.05701800906706095
22,rigid,45863.321652316205,0.0,2.319125239966638,21.58226163331551,92300.00000000001,77604.39000617174,0.0
22,compliant,41588.7192465683,11334.6909317085,2.35628086089838,32.02410277622408,92300.00000000001,78755.15137164945,0.052525823373378286
23,rigid,46620.20380437004,0.0,2.329860157754183,21.81122262404287,92300.00000000001,77688.3370927927,0.0
23,compliant,41357.61419532353,11447.139584955916,2.325142254883872,32.51429782227842,92300.00000000001,78523.93748459074,0.05603422728817804
24,rigid,44864.15530173475,0.0,2.292770512287916,21.3656337184174,92300.00000000001,77530.27439695803,0.0
24,compliant,41561.85930316156,11165.018942779056,2.395890149042316,31.583767738155217,92300.00000000001,78995.84775015175,0.05691502531161449
25,rigid,46033.1695113345,0.0,2.3225911339582694,21.627964017263082,92300.00000000001,77620.06850416966,0.0
25,compliant,41530.76299770798,11461.45941048468,2.343857790428615,32.12030098067919,92300.00000000001,78549.97112658038,0.05635571252225473
